strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	MuV_genotype
Hikaru.JPN/22.97-B	mumps	AB823535	1997-06-04	Japan Korea	Japan	Japan	Japan	genbank	genome	Kidokoro et al	https://www.ncbi.nlm.nih.gov/nuccore/AB823535	MuV isolate in Japan	Unpublished	?	?
Washington.USA/4.17/FH70/G	mumps	Fred_Hutch_seq_70	2017-01-30	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/46.16/2/G	mumps	MF965212	2016-11-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965212	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/5.17/G	mumps	MG986414	2017-01-30	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986414	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/13.17/2/G	mumps	Ontario_outbreak_18	2017-03-31	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Ontario.CAN/09.17/9/G	mumps	Ontario_outbreak_6	2017-02-28	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Washington.USA/7.17/FH61/G	mumps	Fred_Hutch_seq_61	2017-02-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/13.10/G	mumps	KY006858	2010-03-31	North America	Canada	Ontario	Ontario	genbank	genome	Eshaghi et al	https://www.ncbi.nlm.nih.gov/nuccore/KY006858	A Review of Laboratory Testing During a Mumps Outbreak in Ontario, Canada	Unpublished	?	G
BritishColumbia.CAN/8.17/5/G	mumps	BCCDC61	2017-02-24	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
New_York.USA/01.10	mumps	JX287389	2010-01-04	North America	Usa	New York	New York	genbank	genome	Kirkness et al	https://www.ncbi.nlm.nih.gov/nuccore/JX287389	Direct Submission	Submitted (12-JUN-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?	?
Massachusetts.USA/21.17/G	mumps	MG986445	2017-05-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986445	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/21.16/1/G	mumps	MF965260	2016-05-24	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965260	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/42.16/G	mumps	BCCDC60	2016-10-17	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/45.16/2/G	mumps	MF965273	2016-11-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965273	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/19.16/6/G	mumps	MF965315	2016-05-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965315	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Manitoba.CAN/47.16/4/G	mumps	BCCDC24	2016-10-25	North America	Canada	Manitoba	Manitoba	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/45.16/3/G	mumps	MF965221	2016-11-11	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965221	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/14.16/2/G	mumps	MF965239	2016-04-08	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965239	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/30.16/1/G	mumps	BCCDC16	2016-07-31	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Missouri.USA/15.17/FH135/G	mumps	Fred_Hutch_seq_135	2017-04-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/1.17/FH7/G	mumps	Fred_Hutch_seq_7	2017-01-06	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/26.17/G	mumps	MG986408	2017-06-29	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986408	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Illinois.USA/11.17/G	mumps	MG986454	2017-03-18	North America	Usa	Illinois	Illinois	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986454	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/09.17/4/G	mumps	Ontario_outbreak_1	2017-02-25	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Washington.USA/4.17/FH48/G	mumps	Fred_Hutch_seq_48	2017-01-28	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
MuVi-MNG09-024	mumps	AB600843	2009-05-28	West Asia	Mongolia	Mongolia	Mongolia	genbank	genome	Kidokoro et al	https://www.ncbi.nlm.nih.gov/nuccore/AB600843	Characterization of mumps viruses circulating in mongolia: identification of a novel cluster of genotype h	J. Clin. Microbiol. 49 (5), 1917-1925 (2011)	https://www.ncbi.nlm.nih.gov/pubmed/21411578	?
Missouri.USA/41.16/FH122/G	mumps	Fred_Hutch_seq_122	2016-10-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
MountIsa.AUS/10.17/G	mumps	MH638235	2017-XX-XX	Oceania	Australia	Australia	Australia	genbank	genome	Huang et al	https://www.ncbi.nlm.nih.gov/nuccore/MH638235	Illumina sequencing of clinical samples for virus detection in a public health laboratory: a feasibility study	Unpublished	?	G
Massachusetts.USA/11.16/5/G	mumps	MF965275	2016-03-20	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965275	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/06.17/1/G	mumps	Ontario_outbreak_21	2017-02-06	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Massachusetts.USA/22.17/7/G	mumps	MG986405	2017-06-03	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986405	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/2.17/FH26/G	mumps	Fred_Hutch_seq_26	2017-01-12	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Indiana.USA/49.16/G	mumps	MG986440	2016-12-12	North America	Usa	Indiana	Indiana	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986440	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/9.17/FH94/K	mumps	Fred_Hutch_seq_94	2017-02-28	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	K
Washington.USA/15.17/FH20/G	mumps	Fred_Hutch_seq_20	2017-04-13	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/50.09/1/G	mumps	KY680539	2009-12-13	North America	Canada	Ontario	Ontario	genbank	genome	Eshaghi et al	https://www.ncbi.nlm.nih.gov/nuccore/KY680539	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	?	G
Massachusetts.USA/22.17/9/G	mumps	MG986389	2017-06-05	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986389	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
No_designation_vaccine_related/A	mumps	BCCDC75	2017-02-28	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	A
BritishColumbia.CAN/34.16/3/G	mumps	BCCDC106	2016-08-28	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
BritishColumbia.CAN/19.16/2/G	mumps	BCCDC82	2016-05-10	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
BritishColumbia.CAN/24.16/5/G	mumps	BCCDC64	2016-06-14	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/11.17/G	mumps	MG986383	2017-03-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986383	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
SBL-1	mumps	AB560663	?	?	?	?	?	genbank	genome	Fujieda et al	https://www.ncbi.nlm.nih.gov/nuccore/AB560663	Phenotype of mumps virus deficient of the SH gene	Unpublished	?	?
Pune.Ind/50.08/C	mumps	KF843893	2008-12-30	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KF843893	Complete genome sequence of Mumps wild type strains isolated from India	Unpublished	?	C
Massachusetts.USA/25.17/3/G	mumps	MG986421	2017-06-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986421	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/20.17/FH82/G	mumps	Fred_Hutch_seq_82	2017-05-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/09.17/7/G	mumps	Ontario_outbreak_4	2017-02-27	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
BritishColumbia.CAN/23.16/2/G	mumps	BCCDC80	2016-06-12	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/5.17/FH50/G	mumps	Fred_Hutch_seq_50	2017-02-06	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/39.16/1/G	mumps	MF965306	2016-10-03	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965306	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Hoshino	mumps	MK279727	?	?	?	?	?	genbank	genome	Alirezaie et al	https://www.ncbi.nlm.nih.gov/nuccore/MK279727	Direct Submission	Submitted (08-DEC-2018) Human Viral Vaccines Department, Razi Vaccine and Serum Research Institute, Hessarak, Karaj, Alborz 11365/1558, Iran	?	?
Massachusetts.USA/17.16/3/G	mumps	MF965296	2016-04-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965296	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/16.17/FH36/G	mumps	Fred_Hutch_seq_36	2017-04-19	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/1.17/FH77/G	mumps	Fred_Hutch_seq_77	2017-01-11	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Indiana.USA/48.16/G	mumps	MG986406	2016-11-28	North America	Usa	Indiana	Indiana	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986406	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ohio.USA/11.14/2/G	mumps	MG986426	2014-03-16	North America	Usa	Ohio	Ohio	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986426	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/51.16/FH46/G	mumps	Fred_Hutch_seq_46	2016-12-22	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/46.16/1/G	mumps	MF965282	2016-11-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965282	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/42.15/FH115/G	mumps	Fred_Hutch_seq_115	2015-10-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/26.15/1/G	mumps	MF965222	2015-07-04	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965222	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/7.07/FH154/G	mumps	Fred_Hutch_seq_154	2007-02-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Kansas.USA/8.17/G	mumps	MG986432	2017-02-21	North America	Usa	Kansas	Kansas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986432	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/41.06/FH153/G	mumps	Fred_Hutch_seq_153	2006-10-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/11.17/FH96/G	mumps	Fred_Hutch_seq_96	2017-03-18	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/7.17/FH106/G	mumps	Fred_Hutch_seq_106	2017-02-14	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/16.16/2/G	mumps	MF965257	2016-04-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965257	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/33.16/1/G	mumps	MF965295	2016-08-19	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965295	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Missouri.USA/46.16/FH124/G	mumps	Fred_Hutch_seq_124	2016-11-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
31170132	mumps	LC325482	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325482	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
Massachusetts.USA/12.16/4/G	mumps	MF965293	2016-03-27	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965293	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/07.17/1/G	mumps	Ontario_outbreak_23	2017-02-15	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Washington.USA/19.17/FH44/G	mumps	Fred_Hutch_seq_44	2017-05-10	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/13.16/1/G	mumps	MF965274	2016-03-31	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965274	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/17.16/2/G	mumps	MF965316	2016-04-24	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965316	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/42.15/FH116/G	mumps	Fred_Hutch_seq_116	2015-10-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/21.16/2/G	mumps	MF965231	2016-05-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965231	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/11.16/G	mumps	BCCDC107	2016-03-14	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/5.17/FH104/G	mumps	Fred_Hutch_seq_104	2017-02-08	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/12.17/G	mumps	MG986425	2017-03-24	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986425	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/15.06/FH87/H	mumps	Fred_Hutch_seq_87	2006-04-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	H
BritishColumbia.CAN/27.16/3/G	mumps	BCCDC57	2016-07-07	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/15.17/FH146/G	mumps	Fred_Hutch_seq_146	2017-04-18	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Gabon/13/2/G	mumps	KM597072	2013-03-01	Africa	Gabon	Gabon	Gabon	genbank	genome	Maganga et al	https://www.ncbi.nlm.nih.gov/nuccore/KM597072	Complete genome sequence of mumps virus genotype g from a vaccinated child in franceville, southeastern Gabon, in 2013	Genome Announc 2 (6) (2014)	https://www.ncbi.nlm.nih.gov/pubmed/25428961	G
Wisconsin.USA/20.14/FH86/G	mumps	Fred_Hutch_seq_86	2014-05-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/22.17/2/G	mumps	MG986461	2017-05-30	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986461	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/31.16/1/G	mumps	BCCDC17	2016-08-02	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
NorthDakota.USA/9.17/G	mumps	MG986411	2017-02-27	North America	Usa	North Dakota	North Dakota	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986411	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Missouri.USA/46.16/FH123/G	mumps	Fred_Hutch_seq_123	2016-11-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/13.16/2/G	mumps	MF965267	2016-03-30	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965267	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.17/G	mumps	MG986424	2017-03-06	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986424	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ohio.USA/2.17/FH128/G	mumps	Fred_Hutch_seq_128	2017-01-XX	North America	Usa	Ohio	Ohio	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/9.17/FH31/G	mumps	Fred_Hutch_seq_31	2017-03-01	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
31170254	mumps	LC325487	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325487	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
Dunedin.NZL/32.17/G	mumps	MG765427	2017-08-11	Oceania	New Zealand	?	?	genbank	genome	Dilcher et al	https://www.ncbi.nlm.nih.gov/nuccore/MG765427	Monitoring viral genetic variation as a tool to improve molecular diagnostics for Mumps virus	J. Clin. Microbiol. (2018) In press	https://www.ncbi.nlm.nih.gov/pubmed/30021826	G
BritishColumbia.CAN/36.16/G	mumps	BCCDC101	2016-09-07	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Washington.USA/49.16/FH45/G	mumps	Fred_Hutch_seq_45	2016-12-10	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Alabama.USA/11.17/FH90/G	mumps	Fred_Hutch_seq_90	2017-03-XX	North America	Usa	Alabama	Alabama	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/17.17/FH40/G	mumps	Fred_Hutch_seq_40	2017-04-29	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/3.17/FH25/G	mumps	Fred_Hutch_seq_25	2017-01-20	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/50.09/3/G	mumps	KY680540	2009-12-11	North America	Canada	Ontario	Ontario	genbank	genome	Eshaghi et al	https://www.ncbi.nlm.nih.gov/nuccore/KY680540	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	?	G
Washington.USA/5.17/FH30/G	mumps	Fred_Hutch_seq_30	2017-02-02	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Osmanabad.IND/10.12/18/C	mumps	KF843895	2012-03-11	South Asia	India	India	India	genbank	genome	Vaidya et al	https://www.ncbi.nlm.nih.gov/nuccore/KF843895	Complete genome sequence of Mumps wild type strains isolated from India	Unpublished	?	C
NewYork.USA/10.14/3/G	mumps	MG986436	2014-03-04	North America	Usa	New York	New York	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986436	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
NewYork/10.14/2/G	mumps	MG986398	2014-03-03	North America	Usa	New York	New York	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986398	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/11.17/FH95/G	mumps	Fred_Hutch_seq_95	2017-03-15	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/27.16/1/G	mumps	MF965202	2016-07-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965202	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Arkansas.USA/44.16/G	mumps	MK585578	2016-10-26	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585578	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
BritishColumbia.CAN/22.16/1/G	mumps	BCCDC54	2016-05-31	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/22.17/8/G	mumps	MG986392	2017-06-04	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986392	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
NorthDakota.USA/15.17/G	mumps	MG986381	2017-04-13	North America	Usa	North Dakota	North Dakota	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986381	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Manitoba.CAN/44.16/15/G	mumps	BCCDC23	2016-11-02	North America	Canada	Manitoba	Manitoba	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/47.16/1/G	mumps	MF965307	2016-11-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965307	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
ODATE-3	mumps	AB600942	?	Japan Korea	Japan	Japan	Japan	genbank	genome	Saito et al	https://www.ncbi.nlm.nih.gov/nuccore/AB600942	Isolation and characterization of mumps virus strains in a mumps outbreak with a high incidence of aseptic meningitis	Microbiol. Immunol. 40 (4), 271-275 (1996)	https://www.ncbi.nlm.nih.gov/pubmed/8709862	?
Washington.USA/48.16/FH1/G	mumps	Fred_Hutch_seq_1	2016-12-07	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/7.17/FH166/G	mumps	Fred_Hutch_seq_166	2017-02-19	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/1.17/FH160/G	mumps	Fred_Hutch_seq_160	2017-01-03	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Washington.USA/6.17/FH13/G	mumps	Fred_Hutch_seq_13	2017-02-13	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/44.16/1/G	mumps	MF965232	2016-10-31	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965232	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/14.16/1/G	mumps	MF965305	2016-04-08	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965305	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/27.16/_/_	mumps	BCCDC65	2016-07-07	North America	Canada	Canada	Canada	bccdc	genome	Gardy et al	?	Unpublished	?	?	?
Michigan.USA/12.14/G	mumps	MG986450	2014-03-20	North America	Usa	Michigan	Michigan	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986450	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
