strain	strain_name	segment	date	host	country	ORF2_type	ORF1_type
MF140672	Norovirus/GII/Hu/NL/2013/GII.Pe__GII.4/Rotterdam/E1300302_p3_d72	NA	2013-07-10	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MK762719	Hu/NP/2013/GII.Pe_GII.4_Sydney2012/ETR_NV_093	NA	2013-10-22	Human	Nepal	GII.4	GII.P31 (GII.Pe)
KY486271	Hu/GII.Pe_GII.4_Sydney/2013/USA	NA	2013-01-06	Human	USA	GII.4	GII.P31 (GII.Pe)
MT474033	Hu/GII.Pe_GII.4/JH12/2013/PA/BRA	NA	2013-07-19	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MF140674	Norovirus/GII/Hu/NL/2013/GII.Pe__GII.4/Rotterdam/E1300308_p4_d0	NA	2013-04-12	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MT474049	Hu/GII.Pe_GII.4/JH38/2013/AM/BRA	NA	2013-04-02	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MT474050	Hu/GII.Pe_GII.4/JH40/2013/AM/BRA	NA	2013-08-10	Human	Brazil	GII.4	GII.P31 (GII.Pe)
KF712502	Hu/GII.4/NIHIC35/2013/USA	NA	2013-02-04	Human	USA	GII.4	GII.P4
KF712504	Hu/GII.4/NIHIC11.3/2013/USA	NA	2013-01-08	Human	USA	GII.4	GII.P4
MF140694	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300280_p9_d0	NA	2013-08-21	Human	Netherlands	GII.4	GII.P4
MF140643	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300307_p11_d195	NA	2013-08-04	Human	Netherlands	GII.4	GII.P4
KU311163	SP2	NA	2013-04-XX	Human	Canada	GII.4	GII.P4
MF140642	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300306_p11_d83	NA	2013-04-14	Human	Netherlands	GII.4	GII.P4
KF712498	Hu/GII.4/NIHIC17.9/2013/USA	NA	2013-03-17	Human	USA	GII.4	GII.P4
MW284781	P1D6	NA	2013-12-XX	Human	United_Kingdom	GII.4	GII.P4
MF140651	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E7800019_p13_d235	NA	2013-06-04	Human	Netherlands	GII.4	GII.P4
MF140670	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300297_p2_d402	NA	2013-04-12	Human	Netherlands	GII.4	GII.P4
MF140692	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300330_p8_d269	NA	2013-03-25	Human	Netherlands	GII.4	GII.P4
MF140641	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E7800009_p11_d0	NA	2013-01-21	Human	Netherlands	GII.4	GII.P4
MF140695	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300281_p9_d58	NA	2013-10-18	Human	Netherlands	GII.4	GII.P4
MF140696	Norovirus/GII/Hu/NL/2013/GII.P4__GII.4/Rotterdam/E1300282_p9_d121	NA	2013-12-20	Human	Netherlands	GII.4	GII.P4
MW284779	P1D11	NA	2013-12-XX	Human	United_Kingdom	GII.4	GII.P4
MW284780	P1D10	NA	2013-12-XX	Human	United_Kingdom	GII.4	GII.P4
KF712491	Hu/GII.4/NIHIC17.8/2013/USA	NA	2013-01-14	Human	USA	GII.4	GII.P4
MW284782	P1D5	NA	2013-12-XX	Human	United_Kingdom	GII.4	GII.P4
MW284783	P1D3	NA	2013-12-XX	Human	United_Kingdom	GII.4	GII.P4
KJ407076	Hu/GII.4/HS66/2001/USA	NA	2001-XX-XX	Human	USA	GII.4	GII.P4
KT202796	Hu/Guangzhou/GZ2014_L132/CHN/2014	NA	2014-03-05	Human	China	GII.4	GII.P31 (GII.Pe)
MH218706	NORO_48_1_01_07_2014	NA	2014-07-01	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218614	NORO_143_12_11_2014	NA	2014-11-12	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218700	NORO_40_1_01_09_2014	NA	2014-09-01	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MF140675	Norovirus/GII/Hu/NL/2014/GII.Pe__GII.4/Rotterdam/E1300309_p4_d355	NA	2014-04-02	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MK762558	CS0031	NA	2014-01-28	Human	USA	GII.4	GII.P31 (GII.Pe)
MK907796	G19_032	NA	2014-05-12	Human	France	GII.4	GII.P31 (GII.Pe)
MH218699	NORO_39_26_08_2014	NA	2014-08-26	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MT474039	Hu/GII.Pe_GII.4/JH17/2014/PA/BRA	NA	2014-09-12	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MT474038	Hu/GII.Pe_GII.4/JH16/2014/PA/BRA	NA	2014-01-10	Human	Brazil	GII.4	GII.P31 (GII.Pe)
KT202797	Hu/Guangzhou/GZ2014_L295/CHN/2014	NA	2014-11-17	Human	China	GII.4	GII.P31 (GII.Pe)
MH218709	NORO_52_1_16_07_2014	NA	2014-07-16	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
LC133344	Hu/GII.4/OsakaSB2_1/2014/JPA	NA	2014-01-02	Human	Japan	GII.4	GII.P31 (GII.Pe)
KU311158	OU2	NA	2014-09-XX	Human	Canada	GII.4	GII.P31 (GII.Pe)
MH218694	NORO_31_11_09_2014	NA	2014-09-11	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MF140638	Norovirus/GII/Hu/NL/2014/GII.Pe__GII.4/Rotterdam/E1300286_p10_d362	NA	2014-01-21	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
KT202794	Hu/Guangzhou/GZ2014_L106/CHN/2014	NA	2014-02-19	Human	China	GII.4	GII.P31 (GII.Pe)
MH218701	NORO_42_01_09_2014	NA	2014-09-01	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MF140639	Norovirus/GII/Hu/NL/2014/GII.Pe__GII.4/Rotterdam/E1300287_p10_d462	NA	2014-05-01	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MF140640	Norovirus/GII/Hu/NL/2014/GII.Pe__GII.4/Rotterdam/E7800017_p10_d508	NA	2014-06-16	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MT474047	Hu/GII.Pe_GII.4/JH34/2014/AM/BRA	NA	2014-05-15	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MT474034	Hu/GII.Pe_GII.4/JH13/2014/AM/BRA	NA	2014-06-04	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MH218708	NORO_50_30_07_2014	NA	2014-07-30	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
KT202795	Hu/Guangzhou/GZ2014_L122/CHN/2014	NA	2014-03-05	Human	China	GII.4	GII.P31 (GII.Pe)
MH218711	NORO_54_1_08_09_2014	NA	2014-09-08	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218715	NORO_59_08_07_2014	NA	2014-07-08	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218615	NORO_144_13_11_2014	NA	2014-11-13	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218616	NORO_145_21_11_2014	NA	2014-11-21	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MK907797	G19_033	NA	2014-05-13	Human	France	GII.4	GII.P31 (GII.Pe)
MT232050	122	NA	2014-02-07	Human	China	GII.4	GII.P31 (GII.Pe)
MH218634	NORO_165_21_06_2015	NA	2015-06-21	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MT474043	Hu/GII.Pe_GII.4/JH23/2015/PA/BRA	NA	2015-02-05	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MH218638	NORO_169_02_07_2015	NA	2015-07-02	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218626	NORO_155_02_03_2015	NA	2015-03-02	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218631	NORO_161_27_04_2015	NA	2015-04-27	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218662	NORO_201_30_11_2015	NA	2015-11-30	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218621	NORO_150_22_01_2015	NA	2015-01-22	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218625	NORO_154_02_03_2015	NA	2015-03-02	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218627	NORO_156_02_03_2015	NA	2015-03-02	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218608	NORO_137_08_06_2015	NA	2015-06-08	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MT474041	Hu/GII.Pe_GII.4/JH21/2015/PA/BRA	NA	2015-05-02	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MH218635	NORO_166_21_06_2015	NA	2015-06-21	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MT474042	Hu/GII.Pe_GII.4/JH22/2015/PA/BRA	NA	2015-03-06	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MH218674	NORO_216_22_12_2015	NA	2015-12-22	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218623	NORO_152_02_02_2015	NA	2015-02-02	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
KX158285	15_59	NA	2015-XX-XX	Human	Canada	GII.4	GII.P31 (GII.Pe)
MT439866	510_2	NA	2015-05-01	Human	USA	GII.4	GII.P31 (GII.Pe)
MG786781	Hu/GII.4/DBM15_156/2015/THA	NA	2015-10-29	Human	Thailand	GII.4	GII.P31 (GII.Pe)
MK764019	Arlington0551	NA	2015-03-19	Human	USA	GII.4	GII.P31 (GII.Pe)
KX158280	13_39	NA	2015-XX-XX	Human	Canada	GII.4	GII.P31 (GII.Pe)
MW009071	510_1	NA	2015-05-01	Human	USA	GII.4	GII.P31 (GII.Pe)
MH218620	NORO_149_22_01_2015	NA	2015-01-22	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MK934772	2015HN08	NA	2015-08-XX	Human	China	GII.4	GII.P31 (GII.Pe)
KX158283	15_58	NA	2015-XX-XX	Human	Canada	GII.4	GII.P31 (GII.Pe)
MH218637	NORO_168_23_06_2015	NA	2015-06-23	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
MH218622	NORO_151_31_01_2015	NA	2015-01-31	Human	United_Kingdom	GII.4	GII.P31 (GII.Pe)
LC066046	Hu/GII/JP/2015/GII.Pe_GII.4/Osaka/OSF78	NA	2015-06-13	Human	Japan	GII.4	GII.P31 (GII.Pe)
KY421039	Hu/GII.Pe_GII.4/Sydney_Variant_2015	NA	2015-05-XX	Human	USA	GII.4	GII.P31 (GII.Pe)
MT474040	Hu/GII.Pe_GII.4/JH19/2015/AM/BRA	NA	2015-08-03	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MT420909	510_3	NA	2015-05-01	Human	USA	GII.4	GII.P31 (GII.Pe)
MK762637	LaPorte0381	NA	2015-12-05	Human	USA	GII.4	GII.P16
MK754442	BaltimoreCity0391	NA	2015-12-16	Human	USA	GII.4	GII.P16
MK753030	Marin0375	NA	2015-11-19	Human	USA	GII.4	GII.P16
KX907727	Hu/USA/2015/GII.P16_GII.4_Sydney/CA3477	NA	2015-11-13	Human	USA	GII.4	GII.P16
MT344179	526_2	NA	2015-12-17	Human	USA	GII.4	GII.P16
KY887603	Hu/UK/2015/GII.P16_GII.4_Sydney2012/NOR_2515	NA	2015-09-27	Human	United_Kingdom	GII.4	GII.P16
KY947550	Hu/USA/2015/GII.P16_GII.4_Sydney/Pasadena_3477	NA	2015-11-13	Human	USA	GII.4	GII.P16
KY887602	Hu/UK/2015/GII.P16_GII.4_Sydney2012/NOR_2516	NA	2015-09-24	Human	United_Kingdom	GII.4	GII.P16
KY887604	Hu/UK/2015/GII.P16_GII.4_Sydney2012/NOR_2518	NA	2015-10-02	Human	United_Kingdom	GII.4	GII.P16
KY887605	Hu/UK/2015/GII.P16_GII.4_Sydney2012/NOR_2520	NA	2015-06-15	Human	United_Kingdom	GII.4	GII.P16
LC597133	GII/Hu/ID/2016/GII.4Sydney2012[P16]/STM221	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P16
MK756033	Alameda0771	NA	2016-04-21	Human	USA	GII.4	GII.P16
MK762563	CS0194	NA	2016-03-03	Human	USA	GII.4	GII.P16
KY887601	Hu/UK/2016/GII.P16_GII.4_Sydney2012/NOR_2565	NA	2016-01-25	Human	United_Kingdom	GII.4	GII.P16
MK756035	Alameda0787	NA	2016-05-02	Human	USA	GII.4	GII.P16
MK762562	CS0193	NA	2016-03-03	Human	USA	GII.4	GII.P16
MK773585	Olmsted0261	NA	2016-11-20	Human	USA	GII.4	GII.P16
MK764018	Stafford0184	NA	2016-01-11	Human	USA	GII.4	GII.P16
MK753029	SanDiego0043	NA	2016-01-03	Human	USA	GII.4	GII.P16
MK073885	Hu/USA/2016/GII.P16_GII.4_Sydney/Fresno_0182	NA	2016-04-28	Human	USA	GII.4	GII.P16
MH218685	NORO_227_07_01_2016	NA	2016-01-07	Human	United_Kingdom	GII.4	GII.P16
MK756038	Alameda0791	NA	2016-06-01	Human	USA	GII.4	GII.P16
KY887600	Hu/UK/2016/GII.P16_GII.4_Sydney2012/NOR_2558	NA	2016-01-06	Human	United_Kingdom	GII.4	GII.P16
KY905335	Hu/GII.P16_GII.4_Sydney_2012/QLDB309/2016/AU	NA	2016-09-XX	Human	Australia	GII.4	GII.P16
MK073891	Hu/USA/2016/GII.P16_GII.4_Sydney/Gallatin_0038	NA	2016-03-13	Human	USA	GII.4	GII.P16
KY887599	Hu/UK/2016/GII.P16_GII.4_Sydney2012/NOR_2559	NA	2016-01-07	Human	United_Kingdom	GII.4	GII.P16
MK762746	Hardin1028	NA	2016-02-24	Human	USA	GII.4	GII.P16
MH218684	NORO_226_06_01_2016	NA	2016-01-06	Human	United_Kingdom	GII.4	GII.P16
MK753032	SanJoaquin0116	NA	2016-09-08	Human	USA	GII.4	GII.P16
KY210980	Hu/GII.P16_GII.4/RUS/Novosibirsk/NS16_C38/2016	NA	2016-05-XX	Human	Russia	GII.4	GII.P16
MK756034	Alameda0766	NA	2016-03-18	Human	USA	GII.4	GII.P16
NC_039477	NORO_226_06_01_2016	NA	2016-01-06	Human	United_Kingdom	GII.4	GII.P16
MK756036	Alameda0788	NA	2016-05-11	Human	USA	GII.4	GII.P16
MK073888	Hu/USA/2016/GII.P16_GII.4_Sydney/Roscommon_0105	NA	2016-04-10	Human	USA	GII.4	GII.P16
MK756037	Alameda0792	NA	2016-06-16	Human	USA	GII.4	GII.P16
MK073890	Hu/USA/2016/GII.P16_GII.4_Sydney/Gallatin_0036	NA	2016-03-13	Human	USA	GII.4	GII.P16
MN525275	JH28	NA	2016-09-29	Human	Brazil	GII.4	GII.P16
LC175468	Hu/GII/JP/2016/GII.P16_GII.4_Sydney2012/_Kawasaki194	NA	2016-XX-XX	Human	Japan	GII.4	GII.P16
MK773584	Olmsted0258	NA	2016-10-30	Human	USA	GII.4	GII.P16
MK764013	Wayne0078	NA	2016-01-11	Human	USA	GII.4	GII.P16
MH218691	NORO_234_25_01_2016	NA	2016-01-25	Human	United_Kingdom	GII.4	GII.P4
MN248518	6	NA	2016-05-XX	Human	China	GII.4	GII.P4
KY905331	Hu/GII.P4_New_Orleans_2009_GII.4_Sydney_2012/NSW789Z/2016/AU	NA	2016-08-XX	Human	Australia	GII.4	GII.P4
MK073889	Hu/USA/2016/GII.P4_New_Orleans_GII.4_Sydney/St.Louis_0113	NA	2016-04-23	Human	USA	GII.4	GII.P4
MK789434	3546	NA	2016-09-XX	Human	Spain	GII.4	GII.P4
MK789436	3552	NA	2016-10-XX	Human	Spain	GII.4	GII.P4
MN248513	1	NA	2016-05-XX	Human	South_Korea	GII.4	GII.P4
MG548737	Hu/GII.4/Suncheon/2016	NA	2016-04-22	Human	South_Korea	GII.4	GII.P4
LC597114	GII/Hu/ID/2016/GII.4Sydney2012[P31]/SOEP100	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
LC597127	GII/Hu/ID/2016/_GII.4Sydney2012_[P31]/STM137	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
LC597115	GII/Hu/ID/2016/GII.4Sydney2012[P31]/SOEP127	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
LC597116	GII/Hu/ID/2016/GII.4Sydney2012[P31]/SOEP134	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
MW019618	1026	NA	2016-10-18	Human	Botswana	GII.4	GII.P31 (GII.Pe)
LC597128	GII/Hu/ID/2016/GII.4Sydney2012[P31]/STM150	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
LC597129	GII/Hu/ID/2016/GII.4Sydney2012[P31]/STM171	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
LC597130	GII/Hu/ID/2016/GII.4Sydney2012[P31]/STM194	NA	2016-XX-XX	Human	Indonesia	GII.4	GII.P31 (GII.Pe)
MK789435	3549	NA	2016-10-XX	Human	Spain	GII.4	GII.P31 (GII.Pe)
MN703761	GII.4_MI_2016_feces	NA	2016-XX-XX	Human	USA	GII.4	GII.P31 (GII.Pe)
KY905333	Hu/GII.Pe_GII.4_Sydney_2012/QLDB101/2016/AU	NA	2016-09-XX	Human	Australia	GII.4	GII.P31 (GII.Pe)
MH218665	NORO_207_07_12_2015	NA	2015-12-07	Human	United_Kingdom	GII.4	GII.P4
MH218619	NORO_148_08_01_2015	NA	2015-01-08	Human	United_Kingdom	GII.4	GII.P4
MH218633	NORO_164_04_06_2015	NA	2015-06-04	Human	United_Kingdom	GII.4	GII.P4
KY947546	Hu/USA/2015/GII.P4_New_Orleans_GII.4_Sydney/Titusville_7426	NA	2015-01-12	Human	USA	GII.4	GII.P4
MH218669	NORO_211_16_12_2015	NA	2015-12-16	Human	United_Kingdom	GII.4	GII.P4
MH702266	Hu/BT/2015/GII.P4_New_Orleans_2009__GII.4_Sydney_2012/ETR_NV_130	NA	2015-07-10	Human	Bhutan	GII.4	GII.P4
MH218636	NORO_167_23_06_2015	NA	2015-06-23	Human	United_Kingdom	GII.4	GII.P4
MH218652	NORO_184_23_09_2015	NA	2015-09-23	Human	United_Kingdom	GII.4	GII.P4
MH218606	NORO_135_30_01_2015	NA	2015-01-30	Human	United_Kingdom	GII.4	GII.P4
MH218617	NORO_147_05_01_2015	NA	2015-01-05	Human	United_Kingdom	GII.4	GII.P4
MH218670	NORO_212_17_12_2015	NA	2015-12-17	Human	United_Kingdom	GII.4	GII.P4
MH218714	NORO_58_1_13_10_2015	NA	2015-10-13	Human	United_Kingdom	GII.4	GII.P4
MH218607	NORO_136_20_02_2015	NA	2015-02-20	Human	United_Kingdom	GII.4	GII.P4
MH218713	NORO_58_25_07_2014	NA	2014-07-25	Human	United_Kingdom	GII.4	GII.P4
MH218703	NORO_45_31_07_2014	NA	2014-07-31	Human	United_Kingdom	GII.4	GII.P4
MH218609	NORO_138_23_10_2014	NA	2014-10-23	Human	United_Kingdom	GII.4	GII.P4
MK753028	Pima0257	NA	2014-06-05	Human	USA	GII.4	GII.P4
MF140644	Norovirus/GII/Hu/NL/2014/GII.P4__GII.4/Rotterdam/E7800018_p11_d413	NA	2014-03-10	Human	Netherlands	GII.4	GII.P4
MH218710	NORO_53_19_07_2014	NA	2014-07-19	Human	United_Kingdom	GII.4	GII.P4
MH218612	NORO_141_02_11_2014	NA	2014-11-02	Human	United_Kingdom	GII.4	GII.P4
KY947547	Hu/USA/2014/GII.P4_New_Orleans_GII.4_Sydney/Ellsworth_7118	NA	2014-11-20	Human	USA	GII.4	GII.P4
MH218695	NORO_32_19_06_2014	NA	2014-06-19	Human	United_Kingdom	GII.4	GII.P4
MH218610	NORO_139_24_10_2014	NA	2014-10-24	Human	United_Kingdom	GII.4	GII.P4
MH218698	NORO_38_09_08_2014	NA	2014-08-09	Human	United_Kingdom	GII.4	GII.P4
MH218611	NORO_140_26_10_2014	NA	2014-10-26	Human	United_Kingdom	GII.4	GII.P4
MH218704	NORO_46_24_08_2014	NA	2014-08-24	Human	United_Kingdom	GII.4	GII.P4
MF140697	Norovirus/GII/Hu/NL/2014/GII.P4__GII.4/Rotterdam/E1300283_p9_d176	NA	2014-02-13	Human	Netherlands	GII.4	GII.P4
MH218716	NORO_60_28_09_2014	NA	2014-09-28	Human	United_Kingdom	GII.4	GII.P4
MH218613	NORO_142_05_11_2014	NA	2014-11-05	Human	United_Kingdom	GII.4	GII.P4
MH218718	NORO_68_6_28_08_2014	NA	2014-08-28	Human	United_Kingdom	GII.4	GII.P4
LC421228	Hu/GII.P12_GII.4sydney_2012/330078/Tokyo/2017/	NA	2017-12-XX	Human	Japan	GII.4	GII.P12
LC421227	Hu/GII.P12_GII.4sydney_2012/330077/Tokyo/2017/	NA	2017-12-XX	Human	Japan	GII.4	GII.P12
MK762629	Lee0113	NA	2017-10-24	Human	USA	GII.4	GII.P16
MH260484	ST435	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260503	ST114	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MK762624	Jackson4273	NA	2017-07-05	Human	USA	GII.4	GII.P16
MH260485	ST420	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MK754444	Baltimore0201	NA	2017-11-30	Human	USA	GII.4	GII.P16
MK775032	Wood0352	NA	2017-05-22	Human	USA	GII.4	GII.P16
MH260482	ST480	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260483	ST466	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MK762621	Jackson1608	NA	2017-01-05	Human	USA	GII.4	GII.P16
MK762638	Miami0181	NA	2017-01-03	Human	USA	GII.4	GII.P16
MH260504	ST111	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MN782359	011617	NA	2017-11-06	Human	USA	GII.4	GII.P16
MK762635	LosAngeles0190	NA	2017-04-19	Human	USA	GII.4	GII.P16
MH260512	ST71	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH279823	ST374	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260492	ST254	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260495	ST166	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260496	ST165	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260479	ST709	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260498	ST156	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH791994	ST104	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MH260502	ST134	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MK762639	Porter0184	NA	2017-02-28	Human	USA	GII.4	GII.P16
MK773586	Ramsey0269	NA	2017-09-19	Human	USA	GII.4	GII.P16
MH260505	ST110	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MK752938	Brown0441	NA	2017-03-23	Human	USA	GII.4	GII.P16
MH260507	ST107	NA	2017-XX-XX	Human	USA	GII.4	GII.P16
MK762632	Natrona0468	NA	2017-12-28	Human	USA	GII.4	GII.P16
MK764021	Loudoun0411	NA	2017-07-20	Human	USA	GII.4	GII.P16
MG002634	Hu/GII.P4_New_Orleans2009_GII.4_Sydney2012/BNE5/2_017/AU	NA	2017-08-08	Human	Australia	GII.4	GII.P4
MG002632	Hu/GII.P4_New_Orleans2009_GII.4_Sydney2012/BNE3/2_017/AU	NA	2017-07-14	Human	Australia	GII.4	GII.P4
MH188080	UNKNOWN_MH188080	NA	2017-06-XX	Human	Australia	GII.4	GII.P4
MW009070	432_2	NA	2017-04-10	Human	USA	GII.4	GII.P4
MK762623	Jackson0853	NA	2017-02-02	Human	USA	GII.4	GII.P4
MT362912	432_1	NA	2017-04-10	Human	USA	GII.4	GII.P4
MT362913	432_3	NA	2017-04-10	Human	USA	GII.4	GII.P4
MK762622	Jackson0849	NA	2017-01-21	Human	USA	GII.4	GII.P4
MW045406	2048	NA	2017-10-19	Human	Botswana	GII.4	GII.P31 (GII.Pe)
MW019959	2049	NA	2017-10-20	Human	Botswana	GII.4	GII.P31 (GII.Pe)
MW019622	3029	NA	2017-09-19	Human	Botswana	GII.4	GII.P31 (GII.Pe)
MW019620	1079	NA	2017-10-16	Human	China	GII.4	GII.P31 (GII.Pe)
MW019621	4020	NA	2017-10-25	Human	Botswana	GII.4	GII.P31 (GII.Pe)
MT735394	Hu/NL/2017/_GII.4_Hong_Kong[P31]/Zandvoort/0471	NA	2017-11-17	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MW019956	1048	NA	2017-03-20	Human	China	GII.4	GII.P31 (GII.Pe)
MG214988	Hu/GII.4/Jinan/JN010/2017/CHN	NA	2017-01-24	Human	China	GII.4	GII.P31 (GII.Pe)
MW019957	1089	NA	2017-11-21	Human	China	GII.4	GII.P31 (GII.Pe)
MW019619	1059	NA	2017-03-21	Human	China	GII.4	GII.P31 (GII.Pe)
MK928497	CU_21954	NA	2018-07-XX	Human	Thailand	GII.4	GII.P31 (GII.Pe)
MW019958	1137	NA	2018-09-25	Human	China	GII.4	GII.P31 (GII.Pe)
MH979230	Hu/GIIPe_GII.4_sydney/CGMH1411/2018/TW	NA	2018-02-20	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
MT028542	Allegany0230	NA	2018-10-31	Human	USA	GII.4	GII.P31 (GII.Pe)
MK928496	CU_21953	NA	2018-07-XX	Human	Thailand	GII.4	GII.P31 (GII.Pe)
MT537633	259_2	NA	2018-12-17	Human	USA	GII.4	GII.P16
MN996297	SCD1055_1	NA	2018-02-18	Human	China	GII.4	GII.P16
MK752934	Grant0015	NA	2018-01-04	Human	USA	GII.4	GII.P16
MT537605	259_1	NA	2018-12-17	Human	USA	GII.4	GII.P16
MT238668	782_3	NA	2018-12-17	Human	USA	GII.4	GII.P16
MK752933	Grant0016	NA	2018-01-04	Human	USA	GII.4	GII.P16
MN996299	SCD1062_2	NA	2018-02-18	Human	China	GII.4	GII.P16
MT029316	Helena0207	NA	2018-10-29	Human	USA	GII.4	GII.P16
MT537634	259_3	NA	2018-12-17	Human	USA	GII.4	GII.P16
MT238667	782_1	NA	2018-12-17	Human	USA	GII.4	GII.P16
MK754446	Washington0207	NA	2018-01-10	Human	USA	GII.4	GII.P16
MT238670	259_1	NA	2018-12-17	Human	USA	GII.4	GII.P16
MT238671	259_2	NA	2018-12-17	Human	USA	GII.4	GII.P16
MT238672	259_3	NA	2018-12-17	Human	USA	GII.4	GII.P16
MT344180	782_2	NA	2018-12-17	Human	USA	GII.4	GII.P16
MK483909	Hu/GII.P16_GII.4/RUS/Novosibirsk/NS18__A1494/2018	NA	2018-03-03	Human	Russia	GII.4	GII.P16
MK764016	Bay0244	NA	2018-02-06	Human	USA	GII.4	GII.P16
MT032004	Buchanan0126	NA	2018-06-18	Human	USA	GII.4	GII.P16
MT537941	259_2	NA	2018-12-17	Human	USA	GII.4	GII.P16
MK762561	CS0014	NA	2018-01-14	Human	USA	GII.4	GII.P4
MK762724	Hu/BT/2013/GII.P16_GII.4_Sydney2012/ETR_NV_268	NA	2013-03-01	Human	Bhutan	GII.4	GII.P16
MN400355	Hu/HK/2019/GII.4_Hong_Kong[P31]/CUHK_NS_2200	NA	2019-08-19	Human	Hong_Kong	GII.4	GII.P31 (GII.Pe)
MT158858	xbfx1926	NA	2019-10-31	Human	China	GII.4	GII.P31 (GII.Pe)
MW559991	KLF_NOV_003	NA	2019-03-09	Human	Kenya	GII.4	GII.P31 (GII.Pe)
