Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Paraguay/436630/2022	Sandra Gonzalez et al	EPI_ISL_13147972	HMI - HMI- SAN PABLO	Laboratorio Central de Salud Pública		GISAID	sars2_21L
hCoV-19/Guatemala/4547-LNS/2022	Mendoza L et al	EPI_ISL_13081501	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Guatemala/4764-LNS/2022	Mendoza L et al	EPI_ISL_13490287	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/SouthKorea/KDCA71660/2022	Jeong-Ah Kim et al	EPI_ISL_13353061	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency		GISAID	sars2_21L
hCoV-19/Taiwan/NTU272/2022	Shiou-Hwei Yeh et al	EPI_ISL_15908759	Department of Laboratory Medicine, National Taiwan University Hospital	Department of Clinical Laboratory Sciences and Medical Biotechnology, National Taiwan University		GISAID	sars2_21L
hCoV-19/Taiwan/NTU-HCH-1814/2022	Pei-Lan Shao et al	EPI_ISL_14191168	Department of Laboratory Medicine, National Taiwan University Hospital Hsin-Chu Hospital, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan		GISAID	sars2_21L
hCoV-19/Taiwan/NTU-HCH-325/2022	Pei-Lan Shao et al	EPI_ISL_14189687	Department of Laboratory Medicine, National Taiwan University Hospital Hsin-Chu Hospital, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan		GISAID	sars2_21L
hCoV-19/Taiwan/NTU-HCH-729/2022	Pei-Lan Shao et al	EPI_ISL_14190089	Department of Laboratory Medicine, National Taiwan University Hospital Hsin-Chu Hospital, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan		GISAID	sars2_21L
hCoV-19/Taiwan/NCKUH-061022011302/2022	Huey-Pin Tsai et al	EPI_ISL_15187946	Virology Lab,Department of Pathology, National Cheng Kung University Hospital	Virology Lab,Department of Pathology, National Cheng Kung University Hospital		GISAID	sars2_21L
hCoV-19/PapuaNewGuinea/PNG8267/2022	Kumbu et al	EPI_ISL_16534367	Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/Indonesia/SN-NIHRD-WGS-22-04143/2022	Hana Apsari Pawestri et al	EPI_ISL_12086516	RSU Pusat Dr Wahidin Sudirohusodo (Dinkes Sinjai)	National Institute of Health Research and Development		GISAID	sars2_21L
hCoV-19/USA/DC-CDC-LC0542248/2022	Dakota Howard et al	EPI_ISL_10561740	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM873385.1	GISAID	sars2_21L
hCoV-19/Philippines/PH-RITM-1333/2022	Francisco Gerardo M. Polotan et al	EPI_ISL_12628189	Southern Isabela Medical Center Molecular Diagnostic & Research Laboratory (SIMC - MDRL)	Research Institute for Tropical Medicine		GISAID	sars2_21L
hCoV-19/Norway/14012/2022	Kathrine Stene-Johansen et al	EPI_ISL_11660817	Department of Medical Microbiology - section Molde, Molde Hospital	Norwegian Institute of Public Health, Department of Virology		GISAID	sars2_21L
hCoV-19/Japan/PG-211856/2022	Kenichi Ogita et al	EPI_ISL_11724545	Hyogo Prefectural Institute of Public Health science	Pathogen Genomics Center, National Institute of Infectious Diseases		GISAID	sars2_21L
hCoV-19/Canada/MB-CPL-373812/2022	David Alexander et al	EPI_ISL_10927311	MB-Cadham Provincial laboratory	Manitoba Cadham Provincial Laboratory		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-15829/2022	Carlos Padilla Rojas et al	EPI_ISL_11627929	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Greece/97402_RPHLT/2022	Christos Hadjichristodoulou et al	EPI_ISL_12784295	Laboratory of Hygiene and Epidemiology, Faculty of Medicine, University of Thessaly	Laboratory of Hygiene and Epidemiology, Faculty of Medicine, University of Thessaly		GISAID	sars2_21L
hCoV-19/Slovenia/2153/2023	Alen Suljič et al	EPI_ISL_16814691	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana		GISAID	sars2_21L
hCoV-19/Australia/QLD0x012C69/2022	Mitchell Sullivan on behalf of Q-PHIRE Genomics et al	EPI_ISL_16482739	Mater Pathology	Public Health Virology - Forensic and Scientific Services (PHV-FSS)		GISAID	sars2_21L
hCoV-19/MarshallIslands/KWA-H2217168/2022	Pamela O'Brien et al	EPI_ISL_15593726	Ebeye Department of Health Services, Leiroj Hospital	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/SouthKorea/KDCA181864/2022	Jeong-Ah Kim et al	EPI_ISL_16341523	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency		GISAID	sars2_21L
hCoV-19/Mexico/BCS_InDRE_S15920/2023	Claudia Wong-Arambula et al	EPI_ISL_16889495	Laboratorio Estatal de Salud Pública (LESP) Baja California Sur	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		GISAID	sars2_21L
hCoV-19/Guam/GU-H2319367/2023	Pamela O'Brien et al	EPI_ISL_16632484	Guam Public Health Laboratory	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/USA/MO-CDC-2-5877273/2022	Mili Sheth et al	EPI_ISL_12496351	MO State Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON384180.1	GISAID	sars2_21L
hCoV-19/USA/MO-MSPHL-006952/2022	Matthew Sinn et al	EPI_ISL_10007118	Missouri State Public Health Laboratory	Missouri State Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Canada/NS-NML-399418/2022	Anna Majer et al	EPI_ISL_12375164	NS-QEII Health Sciences Centre	National Microbiology Laboratory (NML)		GISAID	sars2_21L
hCoV-19/Laos/LOMWRU-0171/2022	Manila Souksavanh et al	EPI_ISL_13092016	LOMWRU	LOMWRU/Microbiology Laboratory, Mahosot Hospital	OP132765.1	GISAID	sars2_21L
hCoV-19/Thailand/DMSc-08362/2022	Surakameth Mahasirimongkol et al	EPI_ISL_10968652	Klang Hospital	Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health		GISAID	sars2_21L
hCoV-19/Netherlands/ZH-RIVM-95756/2022	Adam Meijer et al	EPI_ISL_12082267	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Japan/SZ-NIG-Y220094/2022	Hiromi Nagaoka et al	EPI_ISL_13234633	Shizuoka Institute of Environment and Hygiene	Japan COVID-19 Open Data Consortium	BS004577.1	GISAID	sars2_21L
hCoV-19/Mongolia/UB-57106/2022	Naranzul Tsedenbal et al	EPI_ISL_12136631	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center		GISAID	sars2_21L
hCoV-19/SouthKorea/KDCA35784/2022	Jeong-Ah Kim et al	EPI_ISL_12250098	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency		GISAID	sars2_21L
hCoV-19/SouthKorea/KDCA77347/2022	Jeong-Ah Kim et al	EPI_ISL_13441563	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency		GISAID	sars2_21L
hCoV-19/SouthKorea/KDCA33211/2022	Jeong-Ah Kim et al	EPI_ISL_11665519	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency		GISAID	sars2_21L
hCoV-19/SouthKorea/KDCA40032/2022	Jeong-Ah Kim et al	EPI_ISL_12633733	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency		GISAID	sars2_21L
hCoV-19/Laos/LOMWRU-0611/2022	Manila Souksavanh et al	EPI_ISL_16003836	LOMWRU	LOMWRU/Microbiology Laboratory, Mahosot Hospital		GISAID	sars2_21L
hCoV-19/Mongolia/Zavkhan-11/2022	Bayasgalan Namuutsetseg et al	EPI_ISL_14807769	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center		GISAID	sars2_21L
hCoV-19/Guam/GU-CDC-2-6162427/2022	Mili Sheth et al	EPI_ISL_13859484	Guam Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON998147.1	GISAID	sars2_21L
hCoV-19/NorthernMarianaIslands/MP-CDC-2-5771543/2022	Mili Sheth et al	EPI_ISL_12278882	Commonwealth Healthcare Center	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON338644.1	GISAID	sars2_21L
hCoV-19/Guam/GU-H2212866/2022	Pamela O'Brien et al	EPI_ISL_13765558	Guam Public Health Laboratory	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/Brunei/9022003480/2022	Zainun Zaini et al	EPI_ISL_10804468	National Virology Reference Laboratory	Microbial Genomic Services		GISAID	sars2_21L
hCoV-19/Brunei/7122062727/2022	Zainun Zaini et al	EPI_ISL_11767124	Department of Laboratory Services, National Virology Reference Laboratory	Microbial Genomic Services, Clinical Molecular Diagnostic Laboratory For Infectious Disease		GISAID	sars2_21L
hCoV-19/Brunei/7122065360/2022	Zainun Zaini et al	EPI_ISL_11515016	National Virology Reference Laboratory	Microbial Genomic Services		GISAID	sars2_21L
hCoV-19/Brunei/7922003480/2022	Zainun Zaini et al	EPI_ISL_13276845	National Virology Reference Laboratory	Microbial Genomic Services		GISAID	sars2_21L
hCoV-19/Brunei/7122105842/2022	Zainun Zaini et al	EPI_ISL_13088347	Department of Laboratory Services, National Virology Reference Laboratory	Clinical Molecular Diagnostic Laboratory For Infectious Disease, Department of Laboratory Services, Microbial Genomic Services		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-94722/2022	Adam Meijer et al	EPI_ISL_11840139	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-94723/2022	Adam Meijer et al	EPI_ISL_11840140	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Libya/79742-96/2022	Abdulla Bashein et al	EPI_ISL_13505286	Reference Lab for Public Health, NCDC	Reference Lab for Public Health, NCDC		GISAID	sars2_21L
hCoV-19/Laos/LOMWRU-0348/2022	Manila Souksavanh et al	EPI_ISL_13747278	LOMWRU	LOMWRU/Microbiology Laboratory, Mahosot Hospital	OP159668.1	GISAID	sars2_21L
hCoV-19/Vietnam/BMH-190322-sample08/2022	Phuong Truong et al	EPI_ISL_11266064	Vinh Phuc General Hospital	Bachmai Hospital		GISAID	sars2_21L
hCoV-19/Canada/BC-BCCDC-356120/2022	Prystajecky Natalie et al	EPI_ISL_10788755	British Columbia Centre For Disease Control	BCCDC Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Vietnam/PIHCM_132/2022	Dao Hoang Thi Nhu et al	EPI_ISL_9416764	Pasteur Institute in Ho Chi Minh city	Department of Microbiology and Immunology		GISAID	sars2_21L
hCoV-19/USA/CO-CDC-MMB15107561/2022	Dakota Howard et al	EPI_ISL_12502351	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON390686.1	GISAID	sars2_21L
hCoV-19/Philippines/PH-RITM-1156/2022	Francisco Gerardo M. Polotan et al	EPI_ISL_11686727	Southern Isabela Medical Center Molecular Diagnostic & Research Laboratory (SIMC - MDRL)	Research Institute for Tropical Medicine		GISAID	sars2_21L
hCoV-19/Djibouti/NAMRU3_E501/2022	Catherine E. Arnold et al	EPI_ISL_13719655	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	ON952000.1	GISAID	sars2_21L
hCoV-19/USA/NV-NSPHL-22-00049544/2022	Andrew Gorzalski et al	EPI_ISL_12063423	Nevada State Public Health Laboratory	Nevada State Public Health Laboratory		GISAID	sars2_21L
hCoV-19/SolomonIslands/SOL151/2022	Jilini et al	EPI_ISL_12489916	National Referral Hospital Molecular Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)		GISAID	sars2_21L
hCoV-19/Finland/THL-202211680/2022	Soile Blomqvist et al	EPI_ISL_12631760	NordLab Oulu	Expert Microbiology, National Institute for Health and Welfare		GISAID	sars2_21L
hCoV-19/Netherlands/ZH-EMC-6123/2022	Bas Oude Munnink et al	EPI_ISL_13445097	Dutch COVID-19 response team	Erasmus Medical Center		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-102283/2022	Adam Meijer et al	EPI_ISL_13331886	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Tianjin/TJCDC-0281/2022	Li Xiaoyan et al	EPI_ISL_16922346	Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention		GISAID	sars2_21L
hCoV-19/Jamaica/JAM-UWIMicro-1627/2022	Keisha Francis et al	EPI_ISL_14780332	National Public Health Laboratory (NPHL)	Department of Microbiology, University of the West Indies		GISAID	sars2_21L
hCoV-19/U.S.VirginIslands/VI-CDC-2-6051062/2022	Mili Sheth et al	EPI_ISL_13653993	VI-US Virgin Islands Department of Health	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON926075.1	GISAID	sars2_21L
hCoV-19/Australia/QLD0x00DFA2/2022	Mitchell Sullivan on behalf of Q-PHIRE Genomics et al	EPI_ISL_12048635	Pathology Queensland and Forensic Scientific Services	PHV-FSS		GISAID	sars2_21L
hCoV-19/CostaRica/INC-3903-751394/2022	Francisco Duarte et al	EPI_ISL_12420497	AREA DE SALUD HEREDIA-VIRILLA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/CostaRica/INC-4819-757956/2022	Francisco Duarte et al	EPI_ISL_13337885	Area de salud buenos aires	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Panama/M239542-GMI/2022	Claudia Gonzalez et al	EPI_ISL_13463407	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Lithuania/LTU000_KUL_5430018/2022	Lukas Zemaitis et al	EPI_ISL_12771592	Viesoji istaiga Klaipedos universitetine ligonine	National Public Health Surveillance Laboratory		GISAID	sars2_21L
hCoV-19/Libya/80894-93/2022	Abdulla Bashein et al	EPI_ISL_13505289	Abushosha Triage Venter	Reference Lab for Public Health, NCDC		GISAID	sars2_21L
hCoV-19/Cambodia/228543/2022	Chhorvann CHHEA et al	EPI_ISL_13985216	National Institute of Public Health	National Institute of Public Health		GISAID	sars2_21L
hCoV-19/Libya/86174-27/2022	Abdulla Bashein et al	EPI_ISL_14014992	Maitiga isolation centers	Public Health Reference Laboratory NCDC		GISAID	sars2_21L
hCoV-19/PapuaNewGuinea/PNG8126/2022	Kumbu et al	EPI_ISL_16534267	Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/PapuaNewGuinea/PNG8030/2022	Kumbu et al	EPI_ISL_16534194	Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/Wales/PHWC-PJ37BM/2022	Catherine Moore et al	EPI_ISL_12562718	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	Public Health Wales Microbiology Cardiff Wales Specialist Virology Centre		GISAID	sars2_21L
hCoV-19/NorthMacedonia/ZMC-ID2Day8/2022	Gjorgjievska M et al	EPI_ISL_11166343	Laboratory of Genetics and Personalized Medicine, Zan Mitrev Clinic	Laboratory of Genetics and Personalized Medicine, Zan Mitrev Clinic		GISAID	sars2_21L
hCoV-19/Russia/MOW-PMVL-DZ-59866387823/2022	Vladimir A. Gushchin et al	EPI_ISL_15865285	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-83032/2022	Alfredo Bruno et al	EPI_ISL_11760554	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/NewZealand/22MV1987/2022	Sarah Cockerton et al	EPI_ISL_12546137	LabTests	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Spain/CB-HUMV-602200148220/2022	Jesús Rodríguez Lozano et al	EPI_ISL_10724568	Hospital Universitario Marqués de Valdecilla	Servicio de Microbiologia. Hospital Universitario Marqués de Valdecilla		GISAID	sars2_21L
hCoV-19/Mongolia/UB-46805/2022	Naranzul Tsedenbal et al	EPI_ISL_14713862	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center		GISAID	sars2_21L
hCoV-19/Luxembourg/LNS0340534/2022	Anke Wienecke-Baldacchino et al	EPI_ISL_12445995	Hopitaux Robert Schuman	Laboratoire national de sante, Microbiology, Microbial Genomics Platform		GISAID	sars2_21L
hCoV-19/Guatemala/4560-LNS/2022	Mendoza L et al	EPI_ISL_13081511	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/NewZealand/22CV2771/2022	Sarah Cockerton et al	EPI_ISL_11331547	North Shore Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CH4581/2022	Sarah Cockerton et al	EPI_ISL_13438193	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV5287/2022	Sarah Cockerton et al	EPI_ISL_13438728	Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV1105/2022	Sarah Cockerton et al	EPI_ISL_9434039	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV1467/2022	Sarah Cockerton et al	EPI_ISL_10188400	Waikato Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CH1510/2022	Sarah Cockerton et al	EPI_ISL_11017916	Southern Community Labs Kew	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Bangladesh/IEDCR-SUST-145/2022	Manjur Hossain Khan et al	EPI_ISL_14869965	Institute of Epidemiology, Disease Control and Research (IEDCR)	Institute of Epidemiology, Disease Control and Research (IEDCR)		GISAID	sars2_21L
hCoV-19/Oman/5222334/2022	Samiha Al Kharusi et al	EPI_ISL_12011500	Oman-NIC	Oman-NIC		GISAID	sars2_21L
hCoV-19/Oman/7228675/2022	Samiha Al Kharusi et al	EPI_ISL_14241486	Oman-NIC	Oman-NIC		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_p209/2022	Cortinas et al	EPI_ISL_16385401	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Paraguay/450372/2022	Sandra Gonzalez et al	EPI_ISL_13156315	Hospital Regional de Paraguarí	Laboratorio Central de Salud Pública		GISAID	sars2_21L
hCoV-19/Paraguay/443916/2022	Sandra Gonzalez et al	EPI_ISL_13156275	Hospital Regional de Encarnación	Laboratorio Central de Salud Pública		GISAID	sars2_21L
hCoV-19/Australia/NSW-RPAH-2526/2022	Foster et al	EPI_ISL_9986474	New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH		GISAID	sars2_21L
hCoV-19/England/MILK-351BEDD/2022	The Lighthouse Lab in Milton Keynes et al	EPI_ISL_9644615	Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	OV898414.1	GISAID	sars2_21L
hCoV-19/Peru/LIM-UNMSM-0004/2022	Dennis Carhuaricra et al	EPI_ISL_11407411	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Laboratorio de Biologia y Genética Molecular, FMV, Universidad Nacional Mayor de San Marcos		GISAID	sars2_21L
hCoV-19/Canada/UN-306562/2022	Anna Majer et al	EPI_ISL_12393915	Dynacare	Public Health Agency of Canada (PHAC) National Microbiology Laboratory		GISAID	sars2_21L
hCoV-19/Egypt/CPHL-21890/2022	Wael H. Roshdy et al	EPI_ISL_12607740	CPHL,MOH,EGYPT	CPHL		GISAID	sars2_21L
hCoV-19/Peru/LAM-INS-18120/2022	Carlos Enrique Holguin Mauricci et al	EPI_ISL_13369205	Laboratorio de Referencia Regional de Piura. Dirección Regional de Salud de Piura.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Kuwait/Jaber2220195377/2022	Dr. Zahrah Buhamad et al	EPI_ISL_13478241	Jarallah German Specialized Clinic	Virology Lab, Jaber Al Ahmad Hospital		GISAID	sars2_21L
hCoV-19/CostaRica/INC-3390-746651/2022	Francisco Duarte et al	EPI_ISL_11098429	AREA DE SALUD ALAJUELITA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Tunisia/4163/2022	Sana Ferjani et al	EPI_ISL_15022525	Laboratory of Microbiology, La Rabta Hospital	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia		GISAID	sars2_21L
hCoV-19/HongKong/HK-HKPU-PUN516347252/2022	Gilman Kit-Hang Siu et al	EPI_ISL_14261053	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University		GISAID	sars2_21L
hCoV-19/HongKong/HK-HKPU-PU22MB306293/2022	Gilman Kit-Hang Siu et al	EPI_ISL_12418644	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University		GISAID	sars2_21L
hCoV-19/Beijing/BJCDC-979/2022	Yang Pan et al	EPI_ISL_16390994	Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention		GISAID	sars2_21L
hCoV-19/Beijing/BJCDC-648/2022	Fu Li et al	EPI_ISL_16557206	Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention		GISAID	sars2_21L
hCoV-19/Beijing/BJCDC-1575/2022	Shujuan Cui et al	EPI_ISL_16614564	Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention		GISAID	sars2_21L
hCoV-19/Taiwan/TSGH-64/2022	Cherng-Lih Perng et al	EPI_ISL_11902997	TSGH-CP molecular lab	TSGH-CP molecular lab		GISAID	sars2_21L
hCoV-19/HongKong/HK-HKPU-PUN513673191/2022	Gilman Kit-Hang Siu et al	EPI_ISL_12810036	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University		GISAID	sars2_21L
hCoV-19/HongKong/HK-HKPU-PUN509816102/2022	Gilman Kit-Hang Siu et al	EPI_ISL_14226743	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University		GISAID	sars2_21L
hCoV-19/HongKong/HKU-315/2022	Kelvin K.W. To et al	EPI_ISL_16347796	Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong		GISAID	sars2_21L
hCoV-19/HongKong/VZ22093145/2022	Alan K.L. Tsang et al	EPI_ISL_12771854	Centre for Health Protection	Hong Kong Department of Health		GISAID	sars2_21L
hCoV-19/HongKong/HK-HKPU-13071/2022	Gilman Kit-Hang Siu et al	EPI_ISL_12417642	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University		GISAID	sars2_21L
hCoV-19/Russia/ME-RII-MH56729S/2022	Andrey Komissarov et al	EPI_ISL_9861948	Kozmodemyansk Interdistrict Hospital	WHO National Influenza Centre Russian Federation		GISAID	sars2_21L
hCoV-19/Russia/MOW-PMVL-DZ-49402380709/2022	Vladimir A. Gushchin et al	EPI_ISL_15876090	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-102229/2022	Adam Meijer et al	EPI_ISL_13332155	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/India/WB-INSACOG-1931503215316/2022	Arindam Maitra et al	EPI_ISL_13877198	INSACOG-WB	National Institute of Biomedical Genomics – INSACOG		GISAID	sars2_21L
hCoV-19/Nepal/NPHL-S-1652/2022	National Public Health Laboratory Team et al	EPI_ISL_13766722	National Public Health Laboratory	National Public Health Laboratory		GISAID	sars2_21L
hCoV-19/Tianjin/TJCDC-1032/2022	Li Xiaoyan et al	EPI_ISL_16923729	Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention		GISAID	sars2_21L
hCoV-19/India/TG-GMCH-ICMR-INSACOG-2903/2022	Dr.K.Nagamani et al	EPI_ISL_13847326	Gandhi Medical College and Hospital (GMCH), Secunderabad	NIV Influenza		GISAID	sars2_21L
hCoV-19/Bhutan/RCDC-0018/2022	Chonticha Klungthong et al	EPI_ISL_16984439	AFRIMS	AFRIMS		GISAID	sars2_21L
hCoV-19/NewZealand/22YA5901/2022	Sarah Cockerton et al	EPI_ISL_16435321	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Australia/ACT9736/2022	Robyn Hall et al	EPI_ISL_16359514	ACT Pathology	Schwessinger Lab		GISAID	sars2_21L
hCoV-19/NewZealand/23XA1414/2023	Sarah Cockerton et al	EPI_ISL_17252656	CHL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
