Accession	Virus	Strain	Author	Publication_Title	Journal	Database
JN819412	Dengue (denv1)	DENV_1/VE/BID_V2252/2005	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639812	Dengue (denv1)	DENV_1/VE/BID_V2250/2005	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JN819413	Dengue (denv1)	DENV_1/VE/BID_V2265/2006	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639823	Dengue (denv1)	DENV_1/VE/BID_V2263/2006	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JN819414	Dengue (denv1)	DENV_1/VE/BID_V2466/2007	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
HQ332179	Dengue (denv1)	VE_61084_2007	Rodriguez-Roche et al	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	Genbank
KF955408	Dengue (denv1)	DENV_1/VE/BID_V2460/2007	Zody et al	Direct Submission	Submitted (10-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GU131842	Dengue (denv1)	DENV_1/VE/BID_V3578/2007	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ882579	Dengue (denv1)	DENV_1/VE/BID_V2465/2007	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
HQ332177	Dengue (denv1)	VE_61059_2006	Rodriguez-Roche et al	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	Genbank
HQ332178	Dengue (denv1)	VE_61060_2006	Rodriguez-Roche et al	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	Genbank
KJ189302	Dengue (denv1)	DENV_1/CO/BID_V7290/1998	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GQ868561	Dengue (denv1)	DENV_1/CO/BID_V3378/1999	Henn et al	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639819	Dengue (denv1)	DENV_1/VE/BID_V2259/2006	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KC692516	Dengue (denv1)	HNRG28425	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KU509251	Dengue (denv1)	DENV1_3852	Shihada et al	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. 23 (2), 272-275 (2017)	Genbank
KU509252	Dengue (denv1)	DENV1_4876	Shihada et al	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. 23 (2), 272-275 (2017)	Genbank
FJ639821	Dengue (denv1)	DENV_1/VE/BID_V2261/2006	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU056030	Dengue (denv1)	DENV_1/VE/BID_V3541/1997	Henn et al	Direct Submission	Submitted (30-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639811	Dengue (denv1)	DENV_1/VE/BID_V2248/2005	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KF955414	Dengue (denv1)	DENV_1/VE/BID_V3566/2006	Zody et al	Direct Submission	Submitted (10-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955411	Dengue (denv1)	DENV_1/VE/BID_V3547/2000	Zody et al	Direct Submission	Submitted (10-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GU131839	Dengue (denv1)	DENV_1/VE/BID_V3565/2006	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
HQ332181	Dengue (denv1)	VE_61063_2006	Rodriguez-Roche et al	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	Genbank
GU131832	Dengue (denv1)	DENV_1/VE/BID_V3548/2000	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU056029	Dengue (denv1)	DENV_1/VE/BID_V3540/1997	Henn et al	Direct Submission	Submitted (30-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
MG518567	Dengue (denv1)	2010_1806	Caro et al	Direct Submission	Submitted (14-NOV-2017) Cellule d'Intervention Biologique d'Urgence (Cibu), Institut Pasteur, 25-28 rue du Docteur Roux, Paris, Ile de France 75015, France	Genbank
KJ189358	Dengue (denv1)	DENV_1/PR/BID_V7713/2012	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189351	Dengue (denv1)	DENV_1/PR/BID_V7705/2012	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189359	Dengue (denv1)	DENV_1/PR/BID_V7719/2012	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
EU482591	Dengue (denv1)	DENV_1/US/BID_V852/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
MG877553	Dengue (denv1)	Haiti2012	Fontaine et al	Epidemiological significance of dengue virus genetic variation in mosquito infection dynamics	PLoS Pathog. 14 (7), e1007187 (2018)	Genbank
KU509264	Dengue (denv1)	DENV1_18037	?			Genbank
KU509249	Dengue (denv1)	DENV1_17388	?			Genbank
KJ189366	Dengue (denv1)	DENV_1/PR/BID_V8187/2010	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KT279761	Dengue (denv1)	Haiti/1207/2014	Elbadry et al	Complete Genomic Sequence of Dengue virus 1, Isolated from Plasma Collected from a Haitian Child in 2014	Genome Announc 5 (22), e00331-17 (2017)	Genbank
KJ189353	Dengue (denv1)	DENV_1/PR/BID_V7707/2012	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189354	Dengue (denv1)	DENV_1/PR/BID_V7708/2012	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189350	Dengue (denv1)	DENV_1/PR/BID_V7704/2012	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189362	Dengue (denv1)	DENV_1/PR/BID_V8182/2010	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189364	Dengue (denv1)	DENV_1/PR/BID_V8184/2010	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
JN819425	Dengue (denv1)	DENV_1/VE/BID_V2423/2004	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU056031	Dengue (denv1)	DENV_1/VE/BID_V3543/1998	Henn et al	Direct Submission	Submitted (30-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639814	Dengue (denv1)	DENV_1/VE/BID_V2254/2005	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639815	Dengue (denv1)	DENV_1/VE/BID_V2255/2006	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KF955441	Dengue (denv1)	DENV_1/VE/BID_V2458/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GQ199877	Dengue (denv1)	DENV_1/VE/BID_V2615/2007	?			Genbank
GU131841	Dengue (denv1)	DENV_1/VE/BID_V3576/2007	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ873810	Dengue (denv1)	DENV_1/VE/BID_V2467/2007	Henn et al	Direct Submission	Submitted (30-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482611	Dengue (denv1)	DENV_1/VE/BID_V1136/2007	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU131840	Dengue (denv1)	DENV_1/VE/BID_V3573/2007	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850102	Dengue (denv1)	DENV_1/VE/BID_V2464/2007	Henn et al	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482610	Dengue (denv1)	DENV_1/VE/BID_V1135/2007	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ810415	Dengue (denv1)	DENV_1/VE/BID_V2253/2005	Henn et al	Direct Submission	Submitted (09-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JN819410	Dengue (denv1)	DENV_1/VE/BID_V2241/2005	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU131838	Dengue (denv1)	DENV_1/VE/BID_V3562/2006	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850103	Dengue (denv1)	DENV_1/VE/BID_V2468/2008	Henn et al	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KC692503	Dengue (denv1)	HNRG13561	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692501	Dengue (denv1)	HNRG13301	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692515	Dengue (denv1)	HNRG28226	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692512	Dengue (denv1)	HNRG25001	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692495	Dengue (denv1)	HNRG12188	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692508	Dengue (denv1)	HNRG14194	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KF672760	Dengue (denv1)	1266/2011/BR/RJ/2011	Nogueira et al	Twenty-five years of DENV-1 in Brazil: virological and molecular surveillance of strains isolated between 1986 and 2011	Unpublished	Genbank
KP188541	Dengue (denv1)	DENV1_BR/SJRP/354/2011	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188540	Dengue (denv1)	DENV1_BR/SJRP/287/2011	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188542	Dengue (denv1)	BR/SJRP/395/2011	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KC692498	Dengue (denv1)	HNRG12589	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692497	Dengue (denv1)	HNRG12560	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692505	Dengue (denv1)	HNRG13708	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692499	Dengue (denv1)	HNRG13154	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692506	Dengue (denv1)	HNRG14043	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692500	Dengue (denv1)	HNRG13188	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692502	Dengue (denv1)	HNRG13405	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692509	Dengue (denv1)	HNRG14635	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692504	Dengue (denv1)	HNRG13707	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692507	Dengue (denv1)	HNRG14076	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692510	Dengue (denv1)	HNRG15417	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692514	Dengue (denv1)	HNRG27486	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
KC692496	Dengue (denv1)	HNRG12447	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
JX669466	Dengue (denv1)	14985/BR_PE/10	Silva et al	Molecular characterization of dengue virus circulating in Pernambuco - Brazil: epidemiological implications	Unpublished	Genbank
JX669463	Dengue (denv1)	13501/BR_PE/10	Silva et al	Molecular characterization of dengue virus circulating in Pernambuco - Brazil: epidemiological implications	Unpublished	Genbank
JX669462	Dengue (denv1)	12898/BR_PE/10	Silva et al	Molecular characterization of dengue virus circulating in Pernambuco - Brazil: epidemiological implications	Unpublished	Genbank
GU131833	Dengue (denv1)	DENV_1/VE/BID_V3549/2000	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU131836	Dengue (denv1)	DENV_1/VE/BID_V3553/2004	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639735	Dengue (denv1)	DENV_1/VE/BID_V2162/1997	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JN819415	Dengue (denv1)	DENV_1/VE/BID_V3561/2006	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
HQ332182	Dengue (denv1)	VE_61006_2006	Rodriguez-Roche et al	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	Genbank
HQ332183	Dengue (denv1)	VE_61081_2007	Rodriguez-Roche et al	Population structure of the dengue viruses, Aragua, Venezuela, 2006-2007. Insights into dengue evolution under hyperendemic transmission	Infect. Genet. Evol. 12 (2), 332-344 (2012)	Genbank
KY347013	Dengue (denv1)	DENV_1/MX/InDRE_36C/2014	?			Genbank
KY347011	Dengue (denv1)	DENV_1/MX/InDRE_35B/2014	Gonzalez-Duran et al	Genotypic variability analysis of DENV-1 in Mexico reveals the presence of a novel Mexican lineage	Arch. Virol. 163 (6), 1643-1647 (2018)	Genbank
MF004384	Dengue (denv1)	Toulon_CNR_25329/2014	Baronti et al	Assessment of the antiviral activity of the FDA approved molecules against an extended panel of Flaviviruses	Unpublished	Genbank
KJ189348	Dengue (denv1)	DENV_1/MX/BID_V7624/2011	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189349	Dengue (denv1)	DENV_1/MX/BID_V7625/2011	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
JF937635	Dengue (denv1)	DENV_1/NI/BID_V5504/2009	Henn et al	Direct Submission	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KF973463	Dengue (denv1)	DENV_1/NI/BID_V7676/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973475	Dengue (denv1)	DENV_1/NI/BID_V7696/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973473	Dengue (denv1)	DENV_1/NI/BID_V7691/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973467	Dengue (denv1)	DENV_1/NI/BID_V7681/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973466	Dengue (denv1)	DENV_1/NI/BID_V7680/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GQ199859	Dengue (denv1)	DENV_1/NI/BID_V2652/2008	?			Genbank
KF973460	Dengue (denv1)	DENV_1/NI/BID_V7672/2011	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973472	Dengue (denv1)	DENV_1/NI/BID_V7690/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973474	Dengue (denv1)	DENV_1/NI/BID_V7692/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973455	Dengue (denv1)	DENV_1/NI/BID_V7650/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973458	Dengue (denv1)	DENV_1/NI/BID_V7655/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973454	Dengue (denv1)	DENV_1/NI/BID_V7644/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973456	Dengue (denv1)	DENV_1/NI/BID_V7651/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GU056032	Dengue (denv1)	DENV_1/VE/BID_V3544/1998	Henn et al	Direct Submission	Submitted (30-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199867	Dengue (denv1)	DENV_1/NI/BID_V2642/2004	?			Genbank
EU596501	Dengue (denv1)	DENV_1/NI/BID_V653/2004	Henn et al	Direct Submission	Submitted (27-MAR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199875	Dengue (denv1)	DENV_1/NI/BID_V669/2004	?			Genbank
GQ199873	Dengue (denv1)	DENV_1/NI/BID_V664/2004	?			Genbank
FJ024483	Dengue (denv1)	DENV_1/NI/BID_V602/2005	Henn et al	Direct Submission	Submitted (08-AUG-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ024482	Dengue (denv1)	DENV_1/NI/BID_V652/2005	Henn et al	Direct Submission	Submitted (08-AUG-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JQ675358	Dengue (denv1)	DENV_1/BOL_KW010	Shin et al	Genome sequence analysis of dengue virus 1 isolated in key west, Florida	PLoS ONE 8 (9), E74582 (2013)	Genbank
JN819403	Dengue (denv1)	DENV_1/NI/BID_V746/2006	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ562104	Dengue (denv1)	DENV_1/NI/BID_V2343/2006	Henn et al	Direct Submission	Submitted (16-DEC-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KY829115	Dengue (denv1)	BLM/2016/MA_WGS16_006	Metsky et al	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	Genbank
FJ547088	Dengue (denv1)	DENV_1/NI/BID_V2330/2008	Henn et al	Direct Submission	Submitted (01-DEC-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199857	Dengue (denv1)	DENV_1/NI/BID_V2645/2008	?			Genbank
GQ199858	Dengue (denv1)	DENV_1/NI/BID_V2646/2008	?			Genbank
KF973462	Dengue (denv1)	DENV_1/NI/BID_V7675/2011	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973459	Dengue (denv1)	DENV_1/NI/BID_V7659/2011	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973469	Dengue (denv1)	DENV_1/NI/BID_V7684/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973461	Dengue (denv1)	DENV_1/NI/BID_V7673/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973468	Dengue (denv1)	DENV_1/NI/BID_V7682/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973465	Dengue (denv1)	DENV_1/NI/BID_V7678/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973453	Dengue (denv1)	DENV_1/NI/BID_V7640/2011	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973464	Dengue (denv1)	DENV_1/NI/BID_V7677/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973470	Dengue (denv1)	DENV_1/NI/BID_V7685/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973457	Dengue (denv1)	DENV_1/NI/BID_V7654/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF973471	Dengue (denv1)	DENV_1/NI/BID_V7686/2012	Zody et al	Direct Submission	Submitted (17-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GQ199872	Dengue (denv1)	DENV_1/NI/BID_V617/2004	?			Genbank
GQ868536	Dengue (denv1)	DENV_1/MX/BID_V3756/2008	?			Genbank
GQ868498	Dengue (denv1)	DENV_1/MX/BID_V3659/2006	?			Genbank
KJ189321	Dengue (denv1)	DENV_1/MX/BID_V7587/2007	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KJ189320	Dengue (denv1)	DENV_1/MX/BID_V7586/2007	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
GU131966	Dengue (denv1)	DENV_1/MX/BID_V3679/2007	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ868524	Dengue (denv1)	DENV_1/MX/BID_V3731/2007	?			Genbank
GQ868517	Dengue (denv1)	DENV_1/MX/BID_V3721/2007	?			Genbank
KJ189313	Dengue (denv1)	DENV_1/MX/BID_V7565/2008	Zody et al	Direct Submission	Submitted (22-JAN-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
