Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/Syria/Northwest-0010/2021	EPI_ISL_7964034		EWARN's Lab	Turkey / Ankara lab	Yasir Elferruh et al	GISAID	sars2
hCoV-19/Estonia/RC0052036/2021	EPI_ISL_4255507		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-69700/2021	EPI_ISL_6852655		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Estonia/18270247/2021	EPI_ISL_6271891		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.	GISAID	sars2
hCoV-19/Mauritanie/CT4368/2021	EPI_ISL_12316588		INRSP-Mauritania	INRSP-Mauritania	Sidi mohamed Ahmed et al	GISAID	sars2
hCoV-19/Lebanon/7121/2021	EPI_ISL_13829502		National Influenza Center, Rafic Hariri University Hospital	The Francis Crick Institute	Jammal N et al	GISAID	sars2
hCoV-19/Palestine/QIBPS-PS-JER123611/2021	EPI_ISL_10033926		Arab American University	Quadram Institute Bioscience	Amer Al-Jewabreh et al	GISAID	sars2
hCoV-19/Syria/Northwest-0023/2021	EPI_ISL_8192519		EWARN's Lab	Ministry of Health Turkey	Yasir Elferruh et al	GISAID	sars2
hCoV-19/Georgia/Tb-SNGS1572/2021	EPI_ISL_5622369		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al	GISAID	sars2
hCoV-19/Mauritius/CERI-KRISP-K033143/2021	EPI_ISL_7860040		Central Health Laboratory,Ministry of Health and Wellness	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Manraj SS et al	GISAID	sars2
hCoV-19/Togo/NMIMR-22-Togo-48/2021	EPI_ISL_12628007		Institut National D’hygiene, Lome, Togo	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Afiwa W. Halatoko et al	GISAID	sars2
hCoV-19/Cambodia/779855/2021	EPI_ISL_4503209		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al	GISAID	sars2
hCoV-19/Cambodia/886446/2021	EPI_ISL_7370861		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al	GISAID	sars2
hCoV-19/Laos/LOMWRU-0249/2022	EPI_ISL_13351924	ON922836.1	LOMWRU	LOMWRU/Microbiology Laboratory, Mahosot Hospital	Manila Souksavanh et al	GISAID	sars2
hCoV-19/Laos/LOMWRU-0464/2022	EPI_ISL_15656020		LOMWRU	LOMWRU/Microbiology Laboratory, Mahosot Hospital	Manila Souksavanh et al	GISAID	sars2
hCoV-19/Cambodia/903009/2022	EPI_ISL_8841180		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Leakhena Pum et al	GISAID	sars2
hCoV-19/Nepal/EPN-B1281/2021	EPI_ISL_10065167		Bheri Hospital	Center for Molecular Dynamics Nepal	Epidemic Intelligence Team et al	GISAID	sars2
hCoV-19/SriLanka/aicbu648/2021	EPI_ISL_3275473		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al B	GISAID	sars2
hCoV-19/Grenada/88066/2021	EPI_ISL_7869381		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/Kosovo/CO-00367-XXK000_563_B/2021	EPI_ISL_4545769		Department of Microbiology, National Institute of Public Health of Kosovo	Department of Microbiology, National Institute of Public Health of Kosovo	Xhevat Jakupi et al	GISAID	sars2
hCoV-19/Syria/Northwest-0001/2021	EPI_ISL_8024569		EWARN's Lab	Turkey / Ankara lab	Yasir Elferruh et al	GISAID	sars2
hCoV-19/Uzbekistan/Tashkent-CGB-35/2021	EPI_ISL_3673670	MZ892622.1	Private clinic of Biogen Med, Tashkent, Uzbekistan	Center of Genomics and bioinformatics, Bioinformatics laboratory	Mirzakamol S Ayubov et al	GISAID	sars2
hCoV-19/Djibouti/NAMRU3_G638/2021	EPI_ISL_10038168	OM732395.1	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	Logan J. Voegtly et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-77684/2021	EPI_ISL_8586731		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Iran/AL229/2021	EPI_ISL_15755416		Semnan University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Mahsa Tavakoli et al	GISAID	sars2
hCoV-19/Iran/AK-03-NIC/2021	EPI_ISL_14197130		National Influenza Center	National Influenza Center	J Yavarian et al	GISAID	sars2
hCoV-19/Mongolia/UB-422853/2021	EPI_ISL_14766759		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal et al	GISAID	sars2
hCoV-19/Mongolia/UB-396005/2021	EPI_ISL_11891893		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal et al	GISAID	sars2
hCoV-19/Mongolia/10011821/2021	EPI_ISL_10899723	OM961245.1	Biotechnology Core Facility Branch, Centers for Disease Control and Prevention	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Anir Enkhbat et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/AGCOB6080/2021	EPI_ISL_3184312		"General Hospital ""Abdulah Nakas"""	Alea Genetic Centre	Dino Pecar et al	GISAID	sars2
hCoV-19/Bhutan/RCDC0017-SV210155/2021	EPI_ISL_16984362		AFRIMS	AFRIMS	Chonticha Klungthong et al	GISAID	sars2
hCoV-19/Georgia/Tb-sNGS559/2021	EPI_ISL_8885088		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al	GISAID	sars2
hCoV-19/Guadeloupe/IPP25359/2021	EPI_ISL_4236948		Outre Mer	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al B	GISAID	sars2
hCoV-19/Slovenia/23-024568-MB/2021	EPI_ISL_7263171		National Laboratory for Health, Environment and Food, OMM, Maribor	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al	GISAID	sars2
hCoV-19/Guadeloupe/IPP26483/2021	EPI_ISL_4461677		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al B	GISAID	sars2
hCoV-19/USA/IL-CDC-ASC210486209/2021	EPI_ISL_7412930	OL778182.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/USA/RI-CDC-ASC210119683/2021	EPI_ISL_4401100	OK239215.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/USA/AK-PHL10371/2021	EPI_ISL_3159519	MZ680598.1	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Stephanie DeRonde et al	GISAID	sars2
hCoV-19/USA/MT-MTPHL-3918541/2021	EPI_ISL_5778204		Montana Public Health Laboratory	Montana Public Health Laboratory	Joy Ritter et al	GISAID	sars2
hCoV-19/USA/KY-CDC-ASC210634168/2021	EPI_ISL_8264804	OM077038.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/USA/VT-CDCBI-CRSP_AAOFUGNHWFFENIVV/2021	EPI_ISL_5009612	OK442257.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al	GISAID	sars2
hCoV-19/USA/OR-OHSU-14525/2021	EPI_ISL_7828607		OHSU Lab Services Molecular Microbiology Lab	Oregon SARS-CoV-2 Genome Sequencing Center	Brendan L. O'Connell et al	GISAID	sars2
hCoV-19/USA/CA-CDPH-3000218791/2021	EPI_ISL_5437723		CDPH VBL	California Department of Public Health	Emily Smith on behalf of CDPH-COVIDNet et al	GISAID	sars2
hCoV-19/USA/HI-BL064/2021	EPI_ISL_9265141		State Laboratories Division, Hawaii State Department of Health	School of Life Sciences, University of Hawaii at Manoa	Edward P. Desmond et al	GISAID	sars2
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2345/2021	EPI_ISL_8800584		Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia	Esdenka Pérez et al	GISAID	sars2
hCoV-19/USA/MI-UM-10042327758/2021	EPI_ISL_6015928		University of Michigan Clinical Microbiology Laboratory	Lauring Lab, University of Michigan, Department of Microbiology and Immunology	Gilbert et al	GISAID	sars2
hCoV-19/USA/IA-SHL-1750223/2021	EPI_ISL_3537452	ON337846.1	State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	Valerie Reeb et al	GISAID	sars2
hCoV-19/Mexico/AGU-LESP-30574-S5/2021	EPI_ISL_7234087		Centenario Hospital Miguel Hidalgo	Laboratorio Estatal de Salud Pública (LESP) Aguascalientes Instituto de Salud del Estado de Aguascalientes (ISSEA)	Hernandez Sabel et al	GISAID	sars2
hCoV-19/CostaRica/INC-2348-723818/2021	EPI_ISL_8260249		AREA DE SALUD GOICOECHEA 2 - CLINICA DR. JIMENEZ NUÑEZ	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al	GISAID	sars2
hCoV-19/USA/NC-CORVASEQ-CLT-001297/2021	EPI_ISL_4052277		StarMed Healthcare	UNC Charlotte Environmental Monitoring Laboratory	Jessica Schlueter et al	GISAID	sars2
hCoV-19/USA/AR-CDC-2-5380330/2021	EPI_ISL_8933048	OM328553.1	"""AR Dept. of Health-PHL, Molecular Diagnostics"""	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al	GISAID	sars2
hCoV-19/USA/DE-CDC-LC0404496/2021	EPI_ISL_7670451	OL837672.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/USA/AR-UMGC-20056/2021	EPI_ISL_6411439	OL515416.1	Arkansas Public Health Laboratory, Arkansas Department of Health	University of Minnesota Genomics Center	Daryl M. Gohl et al	GISAID	sars2
hCoV-19/USA/IL-S21WGS2290/2021	EPI_ISL_2885426		Illinois Department of Public Health - Springfield Lab	Illinois Department of Public Health - Springfield Lab	Bryan Sim et al	GISAID	sars2
hCoV-19/USA/MS-UMMC-M1209A8-512973/2021	EPI_ISL_4628857		University of Mississippi Medical Center, Department of Pathology	University of Mississippi Medical Center, Molecular and Genomics Core Facility	Ashley C. Johnson et al	GISAID	sars2
hCoV-19/USA/WV-CDC-LC0415317/2021	EPI_ISL_7768342	OL882002.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Pakistan/KRISS0056/2021	EPI_ISL_15171550		National Institute of Health (NIH), Islamabad	Microbiological Analysis Team, Biometrology Group, Division of Chemical and Biological Metrology, Korea Research Institute of Standards and Science (KRISS)	Zohaib Ul Hassan et al	GISAID	sars2
hCoV-19/USA/DE-CDC-LC0330468/2021	EPI_ISL_5875665	OL326991.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Egypt/CPHL-EGY21233/2021	EPI_ISL_9047580		CPHL,MOH,EGYPT	CPHL	Wael H. Roshdy et al	GISAID	sars2
hCoV-19/DRC/INRB-RDC-1258/2021	EPI_ISL_15297217		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B	GISAID	sars2
hCoV-19/Seychelles/SS2651/2021	EPI_ISL_4880726	OK377530.1	Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/Armenia/IMB7-9/2021	EPI_ISL_3543633		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al	GISAID	sars2
hCoV-19/Kazakhstan/2041/2021	EPI_ISL_4638319		Laboratory of Virology, National Center os Expertise, Almaty region	National center for Biotechnology, National center of Expertise	Shevtsov Alexandr et al	GISAID	sars2
hCoV-19/Qatar/QA.QU.20.7.A1/2021	EPI_ISL_5852578		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al	GISAID	sars2
hCoV-19/Italy/SAR-3188/2021	EPI_ISL_5438510		"Ospedale ""San Francesco"", ASSL Nuoro"	"Laboratorio Biologia Molecolare Sars Cov2 - UOC Laboratorio Analisi - Servizio Medicina di Laboratorio, Ospedale ""San Francesco"" - ATS-ASSL Nuoro and Laboratorio specialistico UOC Ematologia - Ospedale ""San Francesco"" - ATS-ASSL Nuoro"	Asproni Rosanna et al	GISAID	sars2
hCoV-19/Lebanon/7836/2021	EPI_ISL_13829732		National Influenza Center, Rafic Hariri University Hospital	The Francis Crick Institute	Jammal N et al	GISAID	sars2
hCoV-19/Lebanon/5349/2021	EPI_ISL_13829986		National Influenza Center, Rafic Hariri University Hospital	The Francis Crick Institute	Jammal N et al	GISAID	sars2
hCoV-19/Bangladesh/BSMMU_Laila_604/2021	EPI_ISL_12605855	OM278333.1	Department of Virology, DMC	Genomic Research Laboratory, BSMMU	Laila Anjuman Banu et al	GISAID	sars2
hCoV-19/Belgium/ULB-IBC_CV2023380489/2021	EPI_ISL_6814235		National Platform bis COVID ULB-IBC	National Platform bis COVID ULB-IBC	Ricardo De Mendonça et al	GISAID	sars2
hCoV-19/France/MC-CERBAHC-1240226/2021	EPI_ISL_8120309		CH DE MONACO PRINCESSE DE GRACE	CERBA HealthCare	Bénédicte Roquebert et al	GISAID	sars2
hCoV-19/UnitedArabEmirates/BTC-8590/2021	EPI_ISL_16805541		Khalifa University Center for Biotechnology	Khalifa University Center for Biotechnology	AlSafar et al.	GISAID	sars2
hCoV-19/UnitedArabEmirates/BTC-5967/2021	EPI_ISL_16802371		Khalifa University Center for Biotechnology	Khalifa University Center for Biotechnology	AlSafar et al.	GISAID	sars2
hCoV-19/Australia/SA0998/2021	EPI_ISL_5200352		SA Pathology	SA Pathology	Caitlin Selway et al	GISAID	sars2
hCoV-19/Lithuania/LTU000_INMEDICA_1003181/2021	EPI_ISL_9122351		UAB InMedica	National Public Health Surveillance Laboratory	Lukas Zemaitis et al	GISAID	sars2
hCoV-19/Estonia/RC0254346/2021	EPI_ISL_8482098		Synlab Eesti OÜ	71. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Abroi A. et al	GISAID	sars2
hCoV-19/Djibouti/NAMRU3_E302/2021	EPI_ISL_6693774	OL640810.1	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	Catherine E. Arnold et al	GISAID	sars2
hCoV-19/Libya/86412a-34/2021	EPI_ISL_14014995		Public Health Reference Laboratory NCDC	Public Health Reference Laboratory NCDC	Abdulla Bashein et al	GISAID	sars2
hCoV-19/Libya/86442a-35/2021	EPI_ISL_14014996		Public Health Reference Laboratory NCDC	Public Health Reference Laboratory NCDC	Abdulla Bashein et al	GISAID	sars2
hCoV-19/SolomonIslands/SOL048/2022	EPI_ISL_11207450		National Referral Hospital Molecular Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Jilini et al	GISAID	sars2
hCoV-19/Malaysia/UiTM0872/2021	EPI_ISL_9578975		PEJABAT KESIHATAN DAERAH SEBERANG PERAI UTARA PULAU PINANG	iPROMISE, UiTM	Mohd Zaki Salleh et al	GISAID	sars2
hCoV-19/Slovenia/17-045114-KR/2021	EPI_ISL_3828444		National Laboratory for Health, Environment and Food, OMM, Kranj	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al	GISAID	sars2
hCoV-19/Croatia/13756/2021	EPI_ISL_6647156		Zavod za javno zdravstvo Međimurske županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al	GISAID	sars2
hCoV-19/Poland/PL_P4972/2021	EPI_ISL_5796116		Diagnostyka. Laboratoria Medyczne.	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. Diagtron Laboratoria Łukasz Rąbalski	Rabalski L. et al	GISAID	sars2
hCoV-19/Croatia/15351/2021	EPI_ISL_7880299		Zavod za javno zdravstvo Zagrebačke županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al	GISAID	sars2
hCoV-19/USA/MA-CDC-STM-PE5V29QU9/2021	EPI_ISL_7497155	OL805021.1	Helix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Ecuador/USFQ-2279/2021	EPI_ISL_7709461		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Fernanda Zurita et al	GISAID	sars2
hCoV-19/Portugal/PT20527/2021	EPI_ISL_6267658		SYNLAB	Instituto Nacional de Saude (INSA)	Borges et al	GISAID	sars2
hCoV-19/USA/IN-CDC-ASC210178608/2021	EPI_ISL_5230812	OK407305.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/USA/AR-UMGC-21089/2021	EPI_ISL_6406755	OL515176.1	Arkansas Public Health Laboratory, Arkansas Department of Health	University of Minnesota Genomics Center	Daryl M. Gohl et al	GISAID	sars2
hCoV-19/Paraguay/239495/2021	EPI_ISL_6948437		Hospital Nacoinal de Itaugua	Laboratorio Central de Salud Pública	Sandra Gonzalez et al	GISAID	sars2
hCoV-19/Mexico/SN-SEARCH-120510/2022	EPI_ISL_12604563		Salud Digna, A.C	Andersen lab at Scripps Research	SEARCH Alliance with Abraham Campos Romero et al	GISAID	sars2
hCoV-19/Haiti/68080043-ICGES/2021	EPI_ISL_11293030		Laboratoire National de Santé Publique – LNSP	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Patrick Delly et al	GISAID	sars2
hCoV-19/USA/MN-MDH-8895/2021	EPI_ISL_3216634	MZ700236.1	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Alexandra Lorentz et al	GISAID	sars2
hCoV-19/USA/DC-CDC-LC0200988/2021	EPI_ISL_4150778	OK099050.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-46306/2021	EPI_ISL_3138381		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/TrinidadandTobago/104517/2021	EPI_ISL_7285007		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/USA/VA-VCUVAS3-DBAG818330/2021	EPI_ISL_13817057	ON973475.1	Virginia Division of Consolidated Laboratory Services	Virginia Commonwealth University	Gregory A Buck et al	GISAID	sars2
hCoV-19/USA/WV-CDC-MMB11966858/2021	EPI_ISL_8309433	OM097840.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/USA/KS-CDC-QDX31281560/2021	EPI_ISL_7937188	OL932215.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/UnitedArabEmirates/BTC-7684/2021	EPI_ISL_16804929		Khalifa University Center for Biotechnology	Khalifa University Center for Biotechnology	AlSafar et al.	GISAID	sars2
hCoV-19/Indonesia/JB-EIJK1025/2021	EPI_ISL_3550576		Clinical Pathology Laboratory, RSUP Dr. Hasan Sadikin	Eijkman Institute for Molecular Biology, National Research and Innovation Agency	Hidayat Trimarsanto et al	GISAID	sars2
hCoV-19/Timor-Leste/TL959/2021	EPI_ISL_4761807		National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Soares da Silva et al	GISAID	sars2
hCoV-19/NewZealand/21CV0225/2021	EPI_ISL_3164098		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al	GISAID	sars2
hCoV-19/Singapore/7143/2021	EPI_ISL_5721995		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Grace Ngan et al	GISAID	sars2
hCoV-19/FrenchPolynesia/IPP35903/2021	EPI_ISL_6885226		Outre Mer	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al B	GISAID	sars2
hCoV-19/FrenchPolynesia/IPP35890/2021	EPI_ISL_6885219		Outre Mer	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al B	GISAID	sars2
hCoV-19/PapuaNewGuinea/PNG7212/2021	EPI_ISL_11360713		Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Kumbu et al	GISAID	sars2
hCoV-19/Malaysia/UNIMAS-B4872/2021	EPI_ISL_5052173		Borneo Medical Centre (Kuching)	Institute of Health and Community Medicine	Chan Chia Jui et al	GISAID	sars2
hCoV-19/Malaysia/BSHMIRI022/2021	EPI_ISL_4460367		Borneo Specialist Hospital, Miri	Institute of Health and Community Medicine	Chan Chia Jui et al	GISAID	sars2
hCoV-19/Australia/QLD2116/2021	EPI_ISL_3247201		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Q-PHIRE Genomics et al	GISAID	sars2
hCoV-19/Indonesia/JK-GS-GSILab-806799/2021	EPI_ISL_6712755		RSUP FATMAWATI	Genomik Solidaritas Indonesia Laboratorium	Vania Gavrila Wikasa et al	GISAID	sars2
hCoV-19/Albania/244216/2021	EPI_ISL_16854851		Institute of Public Health	Institute of Public Health	Iris Hasibra et al	GISAID	sars2
hCoV-19/NewZealand/21MV0661/2021	EPI_ISL_3477104		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al	GISAID	sars2
hCoV-19/Austria/CeMM19852/2021	EPI_ISL_6945274		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al	GISAID	sars2
hCoV-19/Bangladesh/CHRF-0584_Pr/2021	EPI_ISL_3946203		Praava Health	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al	GISAID	sars2
hCoV-19/Nepal/S-68/2021	EPI_ISL_2674097		National Public Health Laboratory	National Public Health Laboratory/CSIR-Institute of Genomics and Integrative Biology	National Public Health Laboratory Team et al	GISAID	sars2
hCoV-19/Japan/PG-156312/2021	EPI_ISL_7045221		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al	GISAID	sars2
hCoV-19/Japan/PG-128150/2021	EPI_ISL_5701585		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al	GISAID	sars2
hCoV-19/Belgium/Aalst-OLVZ-826527001/2021	EPI_ISL_4058309		OLVZ Aalst	OLVZ Aalst	Anne Vankeerberghen et al	GISAID	sars2
hCoV-19/Lebanon/LAU-CVD-89/2021	EPI_ISL_3233214		Laboratory of Molecular Biology and Cancer Immunology, Faculty of Sciences, Lebanese University	Microbial Pathogenomics Lab - LAU	Sima tokajian et al	GISAID	sars2
hCoV-19/Morocco/FMP-338/2021	EPI_ISL_4572736		Institut National d'Hygiène / Consortium National de Veille Génomique - Maroc	Laboratoire de Biotechnologie	Mouna Ouadghiri et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-69949/2021	EPI_ISL_6852930		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Zambia/ZMB-119061/2021	EPI_ISL_4513763		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al	GISAID	sars2
hCoV-19/Ghana/WACCBIP-GS1783/2021	EPI_ISL_6088430		WACCBIP, University of Ghana	WACCBIP, University of Ghana	Collins M. Morang'a et al	GISAID	sars2
hCoV-19/Ghana/NMIMR-CT-21-11941/2021	EPI_ISL_8065610		Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Noguchi Memorial Institute for Medical Research, University of Ghana, Legon, Ghana	Bright Adu et al	GISAID	sars2
hCoV-19/Netherlands/NB-MVD-CWGS2103198/2021	EPI_ISL_6294145		Dutch COVID-19 response team	Microvida	Suzan D. Pas et al	GISAID	sars2
hCoV-19/Bulgaria/21BG-EU_011371_Pl109/2021	EPI_ISL_8588765		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al	GISAID	sars2
hCoV-19/Pakistan/KRISS0472/2021	EPI_ISL_15171799		National Institute of Health (NIH), Islamabad	Microbiological Analysis Team, Biometrology Group, Division of Chemical and Biological Metrology, Korea Research Institute of Standards and Science (KRISS)	Zohaib Ul Hassan et al	GISAID	sars2
hCoV-19/Sudan/SS1770/2021	EPI_ISL_14620528		National Public Health Laboratory - Sudan	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/USA/NY-PRL-2021_0917_02C10/2021	EPI_ISL_4514130		Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Henry Lee et al	GISAID	sars2
hCoV-19/USA/OK-CDC-4180951-001/2021	EPI_ISL_3064769	MZ618214.1	"""OK Public Health Laboratory, Oklahoma State DOH"""	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al	GISAID	sars2
hCoV-19/USA/OR-CDC-UW21080528626/2021	EPI_ISL_3552399	MZ896151.1	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al	GISAID	sars2
